index,need,cpu,graphicard,hardisk,ram,screen
54,I want a computer with good screen and fast booting. The FPS rates should be good as well as the wireless card. Hopefully there is a fast WIFI connection and a high performance-cost ratio.,1,0,5,2,2
55,"I am finding a family laptop for my home and I want one that come with high performance-cost ratio. The picture should shown clearly on the screen. Also, it should be fast and last long.",2,2,1,3,2
56,My old computer is still going on well but I decided to go on with a new one with a longer battery life.,2,2,1,3,2
57,"I am finding a new computer for myself. I need it to be fast and have great battery life. If there are plenty of ports, it would easy to upgrade. I also want the computer to be substanial with a brushed look. A good keyboard is also important.",2,2,1,3,2
58,Our homeschooled kids need some computers with large screen for learning.,2,2,0,2,1
59,I need a computer with a high-performance-cost ratio.,1,0,1,2,2
60,I am willing to do some research for a good computer and currently I am finding one that play games with good frame rate.,1,0,1,2,2
61,I do video editing so a good video card and a fast processor are expected.,2,0,1,2,2
62,I need a computer with a high performance-cost ratio and a large memory. I want the computer to boot up quick and last long for the battery.,2,2,1,2,2
63,I love computer with great design.,2,2,1,2,2
64,A computer with a high performance-cost ratio is what I want.,1,4,1,2,2
65,I need a fast computer in both typing responsiveness and log in time. I also need good Bluetooth connection to the other devices.,2,2,1,2,2
66,I need a computer that can run my games fine and do editing. I also need it to have a clear screen and a decent battery life. Of course it should have a reasonable price.,1,0,5,2,2
67,Illuminated keyboard seems cool to me.,3,2,1,2,2
68,Speed is what I look into when purchasing a new computer.,1,0,1,2,1
69,The only requirement I have for my computer is it has to be easy to use.,2,2,1,2,1
70,I need a good video card to go with my computer.,1,0,5,2,2
71,"I don't want to borrow my husband's computer everytime I need it so I am finding myself a new computer with a nice hard drive. Since the previous one doesnt boast with a number pad, it would be nice if the new one include one. I don't have a huge budget for the computer.",2,2,1,3,2
72,"I want a computer with great colour and viewing angles. A good screen is also what I wanted, and hopefully its performance-cost ratio is high.",1,0,5,2,2
73,I work in IT for a living and I am buying myself a economical computer that does not have a reflective screen.,1,0,1,2,2
74,I am finding the best computer with the best price.,1,0,1,2,2
75,I depend on reliable resources to make up my decision on a new computer. The computer should be fast and last long. The ports should be easily accessible and the touchpad should be nice.,2,2,1,3,2
76,"I would use the laptop for my graphic design classes so I want it to be lightweight and sturdy for me to bring it to class. I like having matted texture on the keys and it would nice to have even backlight. Besides, I need plenty of ports.",1,0,1,2,2
77,I will use the computer for gaming and I hope there would be a sharp display and a high refresh rate. The keyboard should be smooth and the CPU + GPU should be fast.,2,0,1,0,2
78,I am finding myself a new computer that is sturdy with great body colour. The graphic card should be good for gaming and the CPU should be solid. Of cource the battery life should be decent.,1,0,1,2,2
79,I need the computer to be light enough that I can carry it around.,1,2,3,2,4
80,"I focus on the appearance of a laptop that it should be sleek, nice looking and light.",3,2,5,4,3
81,I play lots of games and I'm finding a new computer that run fast of all my games. I also own a VR headset and I want it to work well with that.,2,0,1,0,2
82,My old computer is too heavy and doesn't last long so I need a new one.,3,2,3,2,4
83,I need the computer to keep cool when I am gaming.,1,0,5,2,2
84,I need some recommendations on a fast computer.,1,2,1,2,3
85,I want to purchase a computer that is portable and lightweight. It should turn on quickly with fast processing. The wireless connection should be strong though.,1,2,1,2,3
86,Speed is important for my computer.,1,0,1,2,2
87,"I am finding myself a great computer that is solid and priced greatly. For the keyboard, I need the keys to be good typing, and it's better with backlight.",3,2,2,0,3
88,Price is what I concern when purchasing a new computer.,1,4,1,3,2
89,I am considering to change my old computer and what I need is a computer with a high performance-cost ratio and long battery life. I also want it to look good.,1,0,1,2,2
90,I am buying the computer for my family so I need a nice screen to protect their eyes.,2,2,1,4,2
91,I am finding a nice computer that would fit my budget.,3,2,1,2,2
92,I have got a lot of files so I need plenty of memory.,2,2,0,2,2
93,I need a Christmas present for my girlfriend and she wants a laptop that boot up fast and can be set up easily. The graphics should be amazing.,2,2,0,2,1
94,My old computer is not working anymore and I am finding a new computer with a nice price. It should include a DVD drive and be easy to expend more RAM.,2,2,1,3,2
95,"My old laptop isn't working very well and I need a new one that comes with a good price. I want it to be fast, lightweight and portable. The battery life should be awesome and the screen should be bright for me.",1,4,1,2,2
96,I need a new computer that comes with a good price.,1,0,1,2,2
97,I have a kid in school and I am buying him a new laptop with a chassis texture. I want the keyboard and numpad to be comfortable. The SSD should be speedy and the viewing angles should be comfortable for him. The battery ought to be decent for him. The fan must be whisper quiet.,2,2,4,4,2
98,I care about gaming experience so I want a computer that play games with no problem.,3,2,0,1,2
99,I want to computer to have a low price.,2,1,2,4,2
100,I would like to have a sleek design for my next computer.,3,2,1,2,2
101,I have got some expectations on my new computer as I need an amazing monitor and a good keyboard.,1,0,1,2,1
102,I am waiting for my husband to buy me a lightweight computer that has the perfect size.,2,2,0,2,2
103,One of my flight attendent mentioned she wanted a light computer.,3,2,5,4,6
104,I need a computer that run any games well.,2,0,1,2,2
105,I need a solid hard drive to run everything smoothly.,3,2,3,2,2
106,My son has some suggestion for me on the new computer and all I want is a big screen.,3,2,5,4,3
107,I am purchasing a new computer to replace my old one and the new one should come with mosterous storage capacity and high performance-cost ratio.,2,2,0,2,2
108,My desire computer should own a great keyboard and a powerful cooling system. I also expect a good IPS panel.,1,0,5,2,2
109,I need a worthy computer with nice configuration.,1,4,1,2,2
110,"I need a computer that works good for working and gaming without a high price. I need to take it around so I hope the finish would be matte and slightly rubbery. I need a good screen for me to work. For gaming, I need it to run most of my games successfully. I want it to boot fast and run Windows applications quickly.",1,0,1,2,2
111,I am finding a computer for myself that show vivid colours and brightness. The build quality should be good with a responsive touchscreen.,3,2,5,4,3
112,I will do research on the specs and I need a computer that bootup fast and silently.,1,4,1,2,2
113,I expect my new computer will be fast and reasonably priced.,1,0,1,2,2
114,"I am in need of a new computer with good build quality, screen and keyboard.",3,2,3,2,4
115,I am buying a laptop for my brother who just entered into college and the amount of storage ought to be more than enough.,2,2,0,2,2
116,I am finding a solid computer with a lighted charger.,1,0,1,2,2
117,I won't depend too much on this laptop so I just need it to have a high performance-cost ratio.,1,0,1,2,2
118,"I need the computer to have a clean resolution and audio. I also want to access the internet in a faster way. I would need the battery life to be long enough, so I could type at night with a LED lit keyboard.",1,0,5,2,2
119,I want a computer with high performance-cost ratio.,2,2,1,2,2
120,I am looking for a new laptop that is fast and comfortable to type on. I hope there wont be much bloatware.,3,2,3,2,2
121,A fast computer is what I need.,2,1,1,2,2
122,I did a lot of research and found out having a sharp display is critical to me.,1,4,1,2,2
123,I need a work horse that is light and quiet and easy to use. The touch screen should be awesome with a high performance-cost ratio.,2,2,0,2,2
124,I am finding something new to replace my old computer that has a higher portability and better display. The fan should run quietly. The display should be matte with a good viewing angle.,1,4,1,2,2
125,I need a fast computer with high performance-cost ratio.,2,2,1,2,2
126,I am buying a laptop for my daughter and she wants it to be lightweight with a high performance-cost ratio.,2,2,1,3,2
127,A nice packaging and good looking computer would be nice for me.,3,2,3,2,2
128,"The screen should be gorgeous and responsive on my computer. Moreover, it should be fast.",1,2,3,2,4
129,The computer I want should look cool and own a nice graphic card.,2,0,1,0,2
130,My old laptop needs replacement and I need a new one that has beautiful laptop design and accommodating screen size. It should be lightweight including backlight features.,2,2,0,2,1
131,I would do a lot of checks to make sure I buy the fastest computer with the best price.,2,4,1,2,3
132,The computer I want should have a high performance-cost ratio and a comfortable IPS panel. I hope it is well built and durable. The keyboard would be better to be a back-lit red one and be comfy for typing.,1,0,5,2,2
133,I am going to buy a new computer and I want it to startup fast with a reasonable price. I have some programes to be installed so the DVD drive should work well.,2,4,3,2,2
134,"I have to do homework at night so it's better to include a backlit keyboard. Moreover, I want it be to fast and lightweight.",2,2,0,2,1
135,I am considering changing my old computer and what I want is a computer that run most games well within a reasonable price range.,1,4,1,3,2
136,I want to have the best laptop with the least money.,3,2,5,4,6
137,I need a new gaming laptop with some good build quality. I also want it to be thin and light so that I can carry it around.,1,0,1,2,2
138,I am finding myself a new computer that has a good battery life and runs cool. I want it to have empty memory slot for further upgrading. The bezel should be thin around the screen. The graphics should be good though. I need a smaller charger unit with a high performance-cost ratio.,2,0,1,2,2
139,I am in college and I need a sturdy and solid computer that comes with a high response rate.,1,0,1,2,2
140,I need a good laptop with reasonable price.,1,0,1,2,2
141,I have always been hoping to have a fast computer with a backlit keyboard.,2,2,0,2,1
142,I am finding a fast computer with an awesome screen.,3,2,1,4,2
143,I don't work on my old computer nowadays and I need a computer with bigger keys and better keyboard. The touchscreen should be better too. I want the computer to be sturdy with a nice texture. The battery should have the best life and do fast charging.,3,2,3,2,2
144,I need a cheap computer with solid build quality and awesome cooling system.,1,0,5,2,2
145,What I need for school is a fast computer.,1,4,1,2,2
146,I would be grateful to pay as long as the computer lives up to my expectation.,2,2,1,3,2
147,"My old computer needs replacement with a lighter and faster model. There should be no heating issues. The bezels should be thin and for the speakers and the battery life, they should be decent.",1,2,1,2,3
148,I want to purchase a new computer that is fast and easy to setup.,2,2,0,2,2
149,I think design is important to a computer.,3,2,1,4,2
150,Speed is what I consider when purchasing a new computer.,3,2,2,0,3
151,My old computer doesn't last long for the battery life and I hope the new one would.,3,2,1,2,2
152,I am saving money so I want a well priced computer.,2,2,1,4,2
153,My old computer isn't working so I need a new computer which is fast and responsive. I don't have much money so I hope the price to be reasonable.,3,2,0,2,2
154,I want to have the best use of the money I would spend on the computer.,2,2,1,3,1
155,"My old laptop is not working and I am looking for a new one that is fast, portable and light.",3,2,2,0,3
156,I am going through a replacement of my old computer and I want the new one to come with good specs and great display colour. The keys should be easy to find. It should be upgradable and economical.,1,0,3,2,2
157,Some right specs should be installed in the new computer.,2,0,1,0,2
158,"I am finding a new computer for myself that is fast and has high internet connection. I want it to be lightweight and loud. It would be good if it can install Windows automatically out of the box. One more thing, I want it to play games well.",2,0,1,2,2
159,I need a fast computer.,1,4,1,2,2
160,I am finding myself a fast computer.,2,2,4,2,2
161,I am switching my old computer to a quicker and lighter one. I want the keyboard to be backlit. The computer should also be portable with reasonable battery life. I need the USB port access to be excellent. The screen resolution should also be vibrant.,1,2,1,2,3
162,"My old computer needs replacement and the new one should come with a big screen, sleek design and wonderful keyboard lighting.",2,2,0,2,1
163,I am finding a computer for myself that is speedy and easy to setup. I would like it to feature backlit keyboard and touch screen.,3,2,1,2,2
164,I need big keys for my big fingers.,3,2,1,4,2
165,A light computer is preferable.,2,2,4,4,6
166,I am new into computer gaming and I want something that runs smoothly with reasonable price.,2,0,1,0,2
167,I don't require much for my new computer but speed is important.,1,0,1,2,2
168,I need some good price for my computer as I am lacking money.,1,0,1,2,2
169,My old computer is too slow and heavy so I want a completely different one.,2,2,3,2,2
170,"I am replacing my old computer with a lighter one. The setup should be fast, as well as the charging. The screen resolution, flip function, touch screen, keyboard, etc. should be good.",1,2,3,2,4
171,I wish I would be happy with the money I spent for a perfect computer.,1,0,1,2,2
172,"I need the computer to boot up fast. For the weight, I prefer a light one. And for the battery life, I prefer a longer one.",2,2,1,2,2
173,I am finding the best computer with the most reasonable price that can run games smoothly.,1,4,1,3,2
174,I need a computer with a good trackpad and battery life which can max out any games.,1,0,5,2,2
175,I only have simple needs on my laptop so it just has to be lightweight and economical. The keyboard should be good though.,3,2,1,2,2
176,I think the design of a computer do pay attribute.,3,2,1,4,2
177,I use the computer for my personal use and I hope it won't heat up if overused.,1,0,1,2,2
178,"I am starting my graduate school and I need a laptop that is thin, light and has a great screen display. It would be nice if it comes with a convenient fingerprint scanner. I need it to run quietly and cool.",1,4,1,2,2
179,"Everyday I need to use my laptop so I need a big screen and a great keyboard to make it comfortable, of course, it should be fast also.",1,0,1,2,2
180,"I am planning to buy a new laptop and I want to new one to be silent, lightweight and easy to use. There should be lots of storage. The keyboard should be good with backlight.",2,2,1,2,3
181,I am replacing my old computer which I want a new one that has cool design and beautiful display. It should also be light and well built.,1,0,1,2,2
182,I do play some kinds of games and I need a new computer that work the games perfectly. A wonderful screen should come with an excellent price.,1,4,1,3,2
183,"I am going back to college later and so I need a laptop with a huge screen and a number pad on the keyboard. Of course, the price should be good.",2,2,1,3,1
184,I need a new computer for work so everything should be fast including the bootup.,2,4,3,2,2
185,I won't pay too much money for a good computer.,1,0,1,2,2
186,I need a computer to replace my old computer that should be fast and quiet.,3,2,2,0,3
187,I hope the new computer meet up my expectations with the money I paid.,1,4,1,3,2
188,I do a lot of typing at night so a backlit keyboard would help me a lot. It would be better if the computer is fast.,3,2,1,2,2
189,I need a computer to handle my school work so it should run fast.,1,0,1,2,2
190,I want to have a new laptop that is lightweight with a great battery.,3,2,3,2,4
191,I am replacing an old computer and the new one should come with great price.,1,1,1,3,1
192,I like computer that feels classy and sleek.,2,2,1,2,2
193,I want an amazing touch pad for my computer.,1,0,1,2,2
194,I am searching a good computer for school work and I think a computer with great graphic card and plenty of storage would be perfect. It's even better with a low price.,1,4,1,3,2
195,My wife need a computer to do her college work and she needs it to bootup fast and play games well.,1,0,3,2,2
196,The hard drive of my old computer died so I need a new one with large storage and reasonable price.,2,2,0,2,2
197,I need a fast laptop with good configuration.,2,2,1,2,2
198,I don't want to have much bloatware on my computer.,2,2,1,3,2
199,I am taking the laptop to school and I want it to have a good selection of ports for my use. I also need it to play games well with a decent display.,1,0,1,2,2
200,I need a stylish computer for my work.,2,2,1,2,3
201,I have got a lot of documents from my work so I need a new computer that can store all those files with a reasonable price.,3,2,1,4,2
202,I need a new laptop for grad school and it should be fast and sturdy and great looking. I hope the battery stay excellent and keep cool. The screen should be sharp and light. The touchpad and keyboard should also be good. It would be better to be upgradable.,3,2,3,2,4
203,I cannot put a thick laptop into my bag.,1,0,1,2,2
204,I do video editing so the computer should work great with that.,2,0,1,2,2
205,I enjoy playing games and I would like the games to display well with good speaker and good graphic performance.,1,0,1,2,2
206,I don't play many games but I still hope the computer would play games well.,1,0,1,2,2
207,The computer should be light.,2,2,1,2,2
208,My old computer is sick and so I need new one that stays cool and quiet. I need a responsive keyboard and a loud audio output though.,2,0,1,2,1
209,My friend askes me to buy her a lightweight computer.,2,2,1,2,2
210,I need a good keyboard for my typing work.,2,2,1,2,3
211,A good touchscreen should be included to the computer.,1,2,3,2,4
212,I am getting a new computer with impressing specs to play games well.,2,2,1,2,1
213,I hope my money is well paid for a high performance computer.,2,2,1,4,2
214,I am finding myself a light and fast computer.,1,2,1,2,3
215,Speed is important to me when purchasing a new computer.,3,2,1,2,2
216,I am learning a lot about processors recently and I am finding myself a fast computer with a high performance-cost ratio.,2,0,3,1,2
217,I have a number of games that I would like to try on my new laptop so it should have a large storage that is great for gaming.,1,0,1,2,1
218,I need a computer with a good hardware.,2,2,1,2,2
219,I need a computer that comes with a slim profile DVD burner.,2,2,1,3,1
220,I need an economical laptop for my New York trip so it should have a long battery life to stay within the flight. The processor should be good to allow me to play games well.,3,2,5,4,3
221,"I need a computer which include a CD drive and run fast with Wifi, and of course the price should be reasonable.",2,1,2,4,2
222,I want the computer to come with a high performance-cost ratio.,1,0,3,2,2
223,I am trying to find a new gaming laptop that plays my games fast and quietly. I also want to have a cool back-lit keyboard.,1,0,1,2,2
224,I have so many much more complicated things to do so I hope the setup would be easy.,3,2,1,4,2
225,I can get a cheap computer and upgrade it later on. Right now I just need to play games confortably on it.,1,0,1,2,2
226,I am changing to a new computer and I want to come with amazing speakers and comfortable keyboard. The CPU and Wifi connection should be fast. The thermal control should also be good though.,2,0,1,2,2
227,I need a light computer that is perfect for my business.,1,4,1,2,2
228,I am planning to buy a computer as a present and all she wanted is a computer that is lightweight and has a long battery life.,3,2,5,4,6
229,A good design and a cool keyboard should be applied to the computer. The keystokes on it should be comfortable to type on. It would be better if the speakers and fingerprint reader are in good situation. I hope the price wouldn't be too high for all the above features.,1,0,5,2,2
230,"As an artist as well as a gamer, I need the laptop to be nice looking, thin and light. It should bootup fast and has plenty of space. The screen should be bright with a wide viewing angles. The keyboard should be comfortable with nice backlight and good trackpad.",2,0,3,2,2
231,I am taking the laptop to school so I want it to be light. I hope it would be able to startup fast with a low price.,3,2,1,4,2
232,My brother needs a fast computer as his Christmas present.,2,2,1,3,1
233,I am finding a budget gaming laptop that a responsive and nicely backlit keyboard is a must. The trackpad should also be responsive and large. I do hope there would be a bright display.,1,0,3,2,2
234,I do multitasking so I need a good system to come with the laptop.,1,0,1,2,2
235,I enjoy playing games and I want a new laptop that is good for gaming with a great price.,1,0,1,2,1
236,I would look carefully with all the specs that come with the computer and I want it to boot up fast with a great price.,1,0,1,2,2
237,I am taking the recommendations from my friend to find a new computer from Amazon. I want it to contain beautiful graphics and multi purple backlit keys. It should be able to refresh games fast and provide a good trackpad.,2,0,1,0,2
238,I need an inexpensive device for school.,3,2,1,4,2
239,I am going to purchase a new computer on Black Friday so what I want is a computer that play games well in a low cost. The fan should be quiet.,2,1,1,2,2
240,"I tend to choose brand with good reputation and I want a sleek, new computer that comes with the perfect size and a ergonomic keyboard.",3,2,1,4,2
241,I'm an IT student and I need a computer that looks cool.,1,0,1,2,2
242,I am in need of a new computer that comes with great battery. It should also be light with high processing speed.,3,2,5,4,3
243,Speed is what I concern when purchasing a new computer.,3,2,0,1,2
244,I need a lightweight and cool looking computer for work.,1,4,1,2,2
245,I want to have a laptop for out-of-town use and I want a budget-friendly computer that handle games with no issue.,2,0,1,0,2
246,I want my future computer to have a high performance-cost ratio.,1,0,5,2,2
247,I need a computer with solid build quality and a reasonable price.,1,0,5,2,2
248,"I am in need of a new computer that is fast, sleek and economical. The speakers have to be good though.",2,0,1,2,2
249,I need a computer within my budget.,1,0,1,2,2
250,I am using the laptop for internet surfing as I need it to be lightweight and easy to setup.,1,4,1,2,2
251,My family and I need a fast computer with a high performance-cost ratio.,2,2,1,2,2
252,I am finding a fantastic bargain for my gaming computer.,1,0,1,2,1
253,I need a fast computer.,1,4,3,2,3
254,I am finding myself a new computer that is fast and solidly built.,2,2,0,2,2
255,I am finding a new computer with amazing boosted frequency and useful amount of RAM.,3,2,0,1,2
256,I am leaving my old computer for my family and finding myself a new computer that run games well.,1,4,1,3,2
257,I need to take my computer to school so it's better to be lightweight.,2,2,1,4,2
258,I am becoming a coder and I need a new computer that is sleek and has large storage space.,1,2,1,2,3
259,I need a fast computer.,1,0,1,2,2
260,"As a responsible student, I am finding a big and full sized laptop to bring to college. The keyboard should be cool and the display should be nice. The gameplay should be smooth for me in a decent audio volume. Moreover, it should be quick to charge.",1,0,3,2,2
261,I am looking for the heapest option for my next computer which it should be fast and light. It should have good viewing angles and be easily expandable.,1,2,3,2,4
262,I am buying a laptop for video editing and so a large SSD is necessary. I also want it to be fast with cool lighting on the keyboard.,2,0,1,0,2
263,I need a computer with good specs.,1,0,1,2,2
264,I need the best use of my money on a good computer.,1,0,1,2,2
265,"I want a computer that bring up my application quickly and I can work on a large screen with sharp imaging. I would also look into the design, which I hope it to be light, slim and attractive.",2,2,1,2,2
266,I need a new computer that is light and thin with the greatest screen size.,1,2,1,2,3
