index,need,cpu,graphicard,hardisk,ram,screen
43,I don't have a huge budget for my new computer so it should come with a good price.,1,0,1,2,1
44,I need a replacement computer that would run mush faster.,1,4,1,2,2
45,I want to play games on my new computer so it should response quickly.,1,0,1,2,2
46,"I want to get a computer that is slim, light, fast and great looking.",1,2,1,2,3
47,"As a college student, I am finding a sturdy computer with a nice revolving camera.",3,2,5,4,6
48,I don't have a large budget so I need a computer that comes with a nice price.,3,2,2,4,2
49,I hope it would be easy to setup right out of the box.,2,2,0,2,2
50,The temperature of the computer should be low while I am using it. I need the price to be reasonable and the battery life also.,1,0,5,2,2
51,"I normally connect my laptop to my tv for gaming and I hope the new laptop do great in that, without being overheated.",1,0,1,2,2
52,My old computer doesn't work for me anymore so I need a new one with decent touch screen and sound. The price shouldn't be too high though.,2,2,0,2,2
53,I hope my money is well spent on a high quality computer.,1,4,1,3,2
54,A good touch screen should be installed on my new computer.,2,2,1,2,0
55,I want a computer with long battery life.,1,0,5,2,2
56,"I need a computer which has an excellent keyboard and a great screen, but also not too attractive to eyeballs. I would need a good FPS and a high performance-cost ratio.",1,0,5,2,2
57,I am buying a new computer for myself on Black Friday and I want it to play games well. The graphic card should be great and the computer should work fast and well-organized. I don't prefer a heavy computer. The screen would be better to be bright enough. The keyboard should be comfortable along with a useful numpad. I hope the price won't be too high with the those features.,1,4,1,3,2
58,I don't want the computer to be heavy or look dull. I need it to be fast.,2,1,2,4,2
59,I am buying myself a new computer that is fast and built solidly.,3,2,3,2,2
60,A backup laptop is needed and I hope it comes with great specs with low cost. I want it to boot up fast and run programs well. I also hope the setup would be easy for me.,2,0,1,0,2
61,I need a computer with a reasonable price.,1,0,1,2,2
62,I need a computer with a high performance-cost ratio.,1,4,1,2,2
63,I need a good piece of computer with a low cost.,2,0,1,2,1
64,Photo editing is my job so I would need a computer that have good screen resolution. I also want a fantastic keyboard to come with it. I may bring it around so it should be great looking and light.,1,0,1,2,2
65,I need a computer with great performance and cost.,3,2,5,4,6
66,I am a student and I want to find a fast and light computer for my everday use. The display should have high resolution.,3,2,2,0,3
67,I use a laptop when I go to school and I need a fast one.,1,4,1,2,2
68,"Screen is the most important element to me so I want it to be sharp. Moreover, I want the computer to be light and compact.",1,4,1,2,2
69,I am an average user and I need a computer that comes with good speed.,2,2,0,2,2
70,I want the computer to be light enough for me to carry it around.,2,2,1,2,2
71,"I am changing my old computer and I want the new to be quick, responsive and economical.",1,0,1,2,2
72,I do virtualisation on my computer so I need a responsive laptop.,1,0,1,2,2
73,I was looking to upgrade my old computer but eventually I decided I would just find a new computer that is more upgradable.,2,2,1,3,2
74,My grandson wants a new computer that would be great for gaming.,1,4,1,3,2
75,I like computer with nice colour.,3,2,1,4,2
76,I want a computer with nice performance-cost ratio.,1,0,5,2,2
77,I am finding a new computer with a great price.,3,3,2,4,2
78,"My old computer doesn't work anymore so I need a new computer with cool graphics, CPU, RAM and ports.",1,0,1,2,2
79,I recently need a new computer that comes with high speed and minimal bloatware. I do multitasking so I hope it works well on that with a decent price.,2,2,1,2,2
80,I want to replace my old computer that I want one which runs fast and silently. I want it to look sleek within my budget.,2,2,1,2,0
81,My wife would like to have a computer with a high performance-cost ratio.,1,4,1,3,2
82,I am not into waiting so I need a computer that do fast bootup.,1,4,1,2,2
83,"I want to buy a new laptop so I can share it with my wife. The computer should have nice colour option and design. As it is for my wife, it should be light. The keys should be responsive and the screen should sharp. I don't want it to be too expensive.",3,2,1,4,2
84,I have some expectations on my new computer that it should have a good processor with enough RAM.,2,2,1,2,2
85,I need a fast computer.,3,2,2,0,3
86,"I need a computer come up with the 2018 standard in sound output, keyboard and trackpad.",1,0,1,2,2
87,"My computer should be fast and accessible, and should have a good graphic performance.",1,0,5,2,2
88,All I need on a computer is high bootup speed and great graphics.,2,0,1,2,2
89,I need a laptop that fit in my budget with cool looking and ability to play games without issues.,2,0,3,2,2
90,My old computer died so I need a new one immdiately with good picture and sound in a right price.,2,2,1,1,1
91,I need to change my old laptop and I need one that run quietly and cool. I need to perform games well with a relatively low cost.,1,0,1,2,2
92,I am buying a new computer for my wife and so the computer should play games with no problems.,2,0,1,0,2
93,"I am changing my old computer to a more classy-looking one. There should be impressive back-lit keyboard and long battery life. The graphic card, the speakers and the processor should be powerful. I hope the computer is thin and easy to startup.",1,0,3,2,2
94,I am looking for a nice computer with a low price for everyday use.,2,2,0,2,2
95,Our mechanic said he needs a laptop that has a high performance-cost ratio.,3,2,1,4,2
96,I am a video editor and I need a good looking computer.,1,0,1,2,2
97,"I do a lot of typing work so I hope the surface would be comfortable to rest my hands on. Also, I like a sleek laptop with a responsive mousepad and keys. Not to mention that the specs should be wise.",1,0,1,2,2
98,My old computer doesn't work for me anymore and I need a fast one with lots of space.,3,2,1,4,2
99,I do a lot of professional tasks so I need a computer that run tons of programmes well with a fair price.,1,4,1,3,2
100,A computer with a high performance-cost ratio is what I need.,1,0,1,2,2
101,I want the computer to provide great performance with games and stay cool while playing.,1,0,5,2,2
102,I need a new computer for myself that is light but has a huge screen with decent graphics. I hope it would be easy to setup and has a quick internet connection.,3,2,3,2,2
103,"I need a computer for my work and I want it to be light and easy to carry for my meetings. Also, the battery life and screen should be good so I can show my clients my slides.",3,2,5,4,6
104,All I need is a computer that play games well.,2,0,1,2,2
105,I like playing games so games should be able to run fast on the new computer.,1,4,1,3,2
106,I need a state-of-the-art laptop that comes with a low price.,2,2,1,2,2
107,A fast computer with a great screen resolution is what I need.,2,1,2,4,2
108,I need a computer that is easy to get started.,2,0,2,0,2
109,I want to find a fast computer for my cousin.,1,0,1,2,2
110,I plan to buy a travel notebook so it should be slim and lightweight. The battery life should be long so I don't have to take a charger around. The fan should be quiet so I don't disturb others. I want the display to be beautiful and the mousepad and keyboard to be accurate.,3,2,2,0,3
111,I need a new computer to support my work that is solidly built with low cost.,1,0,1,2,2
112,I need a computer that comes with reasonable price and runs games well.,1,4,1,3,2
113,"For a gamer, I need excellent graphics while running my games.",2,0,1,2,1
114,I want a light computer with a backlit keyboard and a clear bright screen. The computer should start up quickly with impressive specs. I also need some really good hard drive.,2,2,1,2,2
115,I am taking the laptop to school so it must be light and last long. I hope the bootup process would be fast also.,1,2,1,2,3
116,"I pay attention to gaming experience so I need a new laptop with amazing gaming performance. It should boot up as soon as possible. For the specs, I need excellent touch pad, good back-lit keyboard, perfect speakers and subwoofer audio. By the way, I hope the computer would run quietly.",1,0,1,2,2
117,"I am in need of a new computer that is responsive and snappy. I want it to run fast and last long. The speaker would be better if it can produce nice special mix of sound, but I don't want it pull up the cost.",2,2,1,3,2
118,I need a quiet computer with high performance-cost ratio.,2,0,1,2,2
119,I want to spend as less as possible on my new laptop.,1,0,1,2,2
120,I plan to do some laptop gaming so it should play games well and fast.,1,0,1,2,2
121,Specs are what I look into when buying a new computer so the keyboard and trackpad must be decent.,1,0,1,2,2
122,I know something about computer and all I want is a good-looking computer that play games well.,1,0,1,2,2
123,My old computer does not work as great as it was so I am finding a new one with a beautiful screen and good build quality. It would be great to feature a fingerprint sensor if it doesn't push up the price.,3,2,2,0,3
124,"We need a perfect mobile business laptop and it should be quick, light and thin.",3,2,3,2,4
125,"I got tired of using the old computer from office so I need a new, fast computer.",1,0,1,2,2
126,I am finding myself a new computer that has a fast refresh rate and good video card. There should not be a lot of bloatware. I want to have some great backlights on the keyboard. The fan should be quiet and easy to clean. I need a fast bootup with a high performance-cost ratio.,1,0,3,2,2
127,"My old computer needs replacement and I need the new one to have great display and stylish look. It should be lightweight, fast and economical.",1,4,1,2,2
128,I recently hired a new assistant and I want to buy her a handy computer.,2,2,0,2,2
129,I don't plan to use the computer for studying so I just need the computer to play games well.,1,4,1,3,2
130,I am just a student so I need a computer with low price.,1,0,1,2,2
131,I am looking for a new computer that comes with a high performance-cost ratio.,3,2,1,2,2
132,Speed is what I look into when purchasing a new computer.,1,1,1,3,1
133,I am not a computer savvy and I want a computer that is easy to use.,2,2,1,2,0
134,The computer I want should handle my games with ease and run super fast. I need it to be quiet and have a great battery life also.,1,0,5,2,2
135,I need a replacement for my recently died computer and I want it to be easy to setup the new computer.,2,2,0,2,2
136,I need a new computer that is fast and well priced.,3,2,0,2,2
137,A good hard disk with a reasonable price is what I need.,2,2,0,2,2
138,I want something that is simple to use because I don't know much about laptops.,2,2,0,2,2
139,I don't have much requirements for a new computer but I need it to run fast and setup easily.,1,4,1,3,2
140,I need a light computer which can turn on fast and run cool. I need to have a good screen with it. I also need to have a decent battery life to get my work done.,2,2,1,2,2
141,I need a laptop with good build.,1,0,5,2,2
142,I want my future computer to have plenty of storage with a high performance-cost ratio.,1,0,5,2,2
143,My boyfriend needs a new laptop that comes with good screen size and touch screen capability.,2,2,0,2,2
144,I have limited budget for a good computer.,2,2,1,2,3
145,I cannot carry a heavy laptop around.,2,2,0,2,2
146,"I like things that are good looking, my new computer should not be left out.",2,2,1,4,2
147,My next semester is coming and I am finding a new computer to cope with the work. The computer should play games easily with an amazing price.,1,4,1,3,2
148,I am looking for a new computer that is lightweight and good looking.,1,4,1,2,2
149,"I need the computer not to look gaudy, but to play games well.",1,0,5,2,2
150,I am finding a new computer for myself that has responsive keys and a beautiful screen.,2,2,1,2,2
151,I like beautiful things so my computer should have awesome looks.,1,4,1,3,2
152,I am changing my old computer that I want a faster Wifi connection and bootup time. The price should be fair with a nice display and a great colour depth on it.,1,2,1,2,3
153,"For the money I paid, I hope it come back with a high quality computer.",2,1,1,3,2
154,My computer just recently broke down so I need a new computer immediately. I need it to be cheap and fast. The ports should also be acceptable.,2,2,1,2,2
155,"I need a few criteria for my new computer. First, I need a sturdy but light lid. Second, I need a good selection of ports. Third, I need the colours to look vivid on the screen. Fourth, I need the viewing angles to be decent. Fifth, I need the computer to have a decent battery life. Sixth, I need the computer to have a backlit keyboard which is quiet while typing. Seventh, I want the fan noise to be manageable. Last but not least, I want the bluetooth connection to be as fast as it can be.",2,2,1,2,2
156,I need a vivid development platform that is lightweight and has a nice backlit keyboard. I need the charging to be quick.,2,0,1,0,2
157,My old computer needs replacement and I am finding for a new computer that run games well and is easily upgradable. The battery life should be excellent and it should be entirely clear from bloatware.,2,2,1,3,2
158,I am looking for a computer that will fit my budget.,1,0,1,2,2
159,I need a fast and lightweight computer.,1,2,3,2,4
160,"My must-have feature is a backlit keyboard. Besides that, I need more-than-enough storage and CPU speed. I hope there would be a fast Wifi connection. The computer should be light though.",1,2,3,2,4
161,My family is going to have a new laptop and we are looking for a fast one with great graphics. It should be terrific for playing games. The screen size and sound quality should be excellent.,1,0,3,2,2
162,I need to have the best use of money for the best computer.,2,0,1,2,1
163,"I am finding a replacement for my old computer and the new one should be light, solid and has a long battery life.",2,2,1,2,3
164,A reasaonably priced computer is what my wife needs.,1,4,1,3,2
165,I want a light computer.,2,1,2,4,2
166,I am a student and I want a computer that has a powerful quad core and sturdy construction. I don't want the cost to surpass my budget.,1,4,1,3,2
167,I know a lot of things about computer and I am now finding a economical computer for myself.,1,0,1,2,2
168,I am finding a travel laptop for my trip and it must be light and has an amazing battery life with a tiny charger. The screen should be amazing with thin bezels. I hope it is upgradable with a good price. The startup should be fast.,1,4,1,2,2
169,I want to have a light and sturdy computer.,2,1,1,3,2
170,I need a new computer with high performance-cost ratio immediately because my old one is not working.,1,0,3,2,2
171,The bootup should be fast on my computer.,1,0,1,2,2
172,I am in need of a new computer that comes with high HDD capacity and low price. The battery life should be long. The screen should be high resolution. A reasonable RAM is expected. Low heat should be produced. The speakers would be great if it is louder than the typical one.,2,2,1,3,2
173,I need the computer to handle games well.,1,0,5,2,2
174,My old computer has run solidly for eight years and I need a new one with a great price.,2,2,0,2,2
175,I need a fast computer.,2,2,0,2,2
176,"I need a new work station that is fast, light and good looking. The screen should be huge though.",2,0,3,1,2
177,"As a college student, I am finding an affordable laptop which has a solid construction. I need it to be fast and come with a DVD drive. The screen should at least be HD and I hope the battery life would be long enough for my papers.",2,2,1,3,2
178,My dream gaming laptop is the one that runs games well.,1,0,1,2,1
179,"My old computer needs replacement and I want the new computer to come with a quiet keyboard and well spaced, sized keys. It should have the smallest beveling. I hope there will be good colours and contrast on the screen. The price should be reasonable though.",3,2,3,2,4
180,I sometimes have long meetings so a computer with long battery life is a must. I would also want it to come with awesome keyboard and low cost.,1,0,1,2,2
181,I need a light and fast computer.,3,2,3,2,4
182,I am into gaming and I am finding a new computer that is fast and own a gorgeous screen.,1,0,1,2,1
183,I hope I can afford a fast computer.,2,2,3,2,2
184,I go on a lot of business travell so what I need is a computer that is light and doesn't take up much space. I need some good build quality to come with the computer. I also hope it would be easy to upgrade. A decent keyboard and a responsive touchpad are also necessary.,1,4,1,3,2
185,I need a recommendation of a handy and light computer for my sister.,2,2,1,2,2
186,I am buying a new gaming laptop for my husband and I want a red backlit keyboard so it would be warm and comfortable to his eyes. I also need it to have strong fan sound so I know the cooling system is working well. Of course it should be fast.,1,0,1,2,1
187,I pay many effort into investigating computers and now I want a sturdy and portable one. The keys ought to be tight and accurate. The trackpad and screen size should come ideally.,1,2,3,2,4
188,The build quality has to be awesome in my computer. I also want the design and the price to be nice. It should have the best cooling and runs silently. The SSD should be good.,1,0,5,2,2
189,I am working to find the best price for the best computer.,2,2,1,3,2
190,I am in need of a new computer that is fast and slim.,1,4,1,2,2
191,I am finding a new computer that runs fast and includes good viewing angles.,2,2,0,2,2
192,I am finding the best computer with my limited budget.,2,2,1,4,2
193,Price is what I consider when buying a new computer.,2,2,1,3,2
194,I will need a functional computer.,2,1,2,4,2
195,My old computer can't really play games so I want a new one that can play games at high settings.,1,0,1,2,2
196,I am changing from desktop to laptop and I want one that bootup fast with a quiet fan. The design should be great with a backlit keyboard. I don't want it to be cumbersome nor heavy.,1,0,1,2,2
197,I like playing games so I hope the new computer can play games at high settings effortlessly.,1,0,1,2,2
198,"I am a writer and I am looking for a computer that is fast, quiet and lightweight.",2,2,1,4,2
199,I want a nice matte finish on my new computer so no fingerprints would be attached to it.,3,2,1,2,2
200,I need a great computer for work that comes with a high performance-cost ratio.,1,4,1,2,2
201,I need the computer to perform great in gaming.,1,0,5,2,2
202,I am finding a laptop for myself that is superfast and light. The games I play should work well on it. The design should be good though.,3,2,2,0,3
203,I am finding for a nice laptop that is slim and fast. The connectivity should be good. I don't want my eyes to be hurt so a non-glare screen is important. The keys should be chiclet though.,3,2,2,0,3
204,I am finding a work only computer that is fast and has plenty of memory.,2,2,3,2,2
205,I need a fast computer.,1,0,1,2,2
206,I am looking for a Mother's Day present that is easy to setup.,3,2,1,4,2
207,Specs ought to be good on my computer.,2,0,1,2,1
208,I do a lot of gaming and I am in need of a new computer that perform well in that aspect. I also like to have lighted keyboard with a great price.,1,0,1,2,2
209,I enjoy surfing the internet with no cords needed in a good price.,2,2,1,2,1
210,I am replacing my old computer and the new one should restart quickly with an excellent price.,2,0,1,2,2
211,My old computer is starting to be unreliable so I need a new one that has lots of space yet running fast. I don't want the price to be too high through.,2,2,1,3,2
212,"Once I find a computer that fits my needs, I am willing to spend the appropiate amount of money.",1,0,1,2,2
213,Our business need a computer that comes with a high performance-cost ratio.,1,0,1,2,2
214,"For an everyday use computer, I need it to have good colour with great price.",3,2,1,4,2
215,The computer I will be using should have a high performance-cost ratio.,1,0,5,2,2
216,A fast computer with a great price would be what I want.,2,2,1,3,2
217,I want a computer with high speed and a tiny power adapter.,1,4,3,2,3
218,I am buying a slim and lightweight computer for my wife.,1,2,1,2,3
219,I need a business flagship with a great price.,2,2,3,2,2
220,"I don't have much requirement on my new computer but I want it to be easy to setup. My other computer own Microsoft 350 so it would be nice if the Microsoft 350 can automatically updated. Moreover, it should be cheap and fast. I want the image on the screen to be crisp and clear.",2,2,1,3,2
221,I have limited budget so I need a new computer with great price.,3,2,1,2,2
222,"The computer I will be using should be light and have thin edges. It should also have long battery life. Good processor, good RAM and good hard disk should be installed. The computer should also be fast and modulable. I also hope the sound output and the quality of image to be great. The computer should also run quietly.",3,2,3,2,2
223,My old computer just died and I need one that startup smoothly.,2,2,1,2,2
224,My old computer doesn't work for me anymore and I need a responsive one with high performance-cost ratio.,2,0,1,2,2
225,I have some light use of the computer and I hope the price wont be too expensive.,3,2,1,4,2
226,I have limited budget on my new computer so it should have a great price.,2,1,1,2,2
227,I need a computer with high performance-cost ratio.,1,0,5,2,2
228,I am a student so I need a computer that come with the perfect size and run games well.,1,0,1,2,2
229,I need a computer that powers up smoothly with a reasonable price.,2,2,1,4,2
230,The computer I want should handle all my needs with a good price.,2,2,1,1,1
231,I need a computer with high performance-cost ratio.,2,1,2,4,2
232,I need a definite improvement from my old laptop and I want to be fast without much bloatware. I also want it to be thin and lightweight.,1,4,1,2,2
233,I have done some research on my new computer and I want a really fast one.,1,0,1,2,2
234,"I will be using the laptop for work so it should be sleek, lightweight and easy to setup.",3,2,2,4,2
235,"I am purchasing a new computer and I want it to have good hinges because I broke those of my last computer. A good graphic card and lots of RAM would be good for me to do gaming. I don't like backlight on the keyboard because that would harm my eyes. The computer should not be too heavy for me. Last but not least, I don't want to spend too much on it.",1,4,1,3,2
236,I am planning to find a new laptop that has a good processor and build well. Nice sound and nice amount of memory are also expected.,1,0,1,2,2
237,I don't have much money so good price is important for a new computer.,1,0,1,2,2
238,Computer is my business and I am finding myself a computer with high performance-cost ratio.,2,2,0,2,2
239,I need a plain notebook without those flashy light but still keep a beautiful design.,1,0,5,2,2
240,I try to stick to one brand and I am finding a new one with a crisp screen and fast CPU. I need it to be good for typing with a high performance-cost ratio.,1,4,1,2,2
241,"I like to stick to one brand while purchasing computer and this time I want one with unique look. I want it to look sturdy, slim and stay silent.",1,0,3,2,2
242,I hope my money is well spent on a powerful computer.,3,2,1,4,2
243,I need a computer that is good for multitasking.,1,0,1,2,2
244,I need a new computer that is fast and own great backlit keyboard along with a beautiful display.,2,0,1,2,1
245,"I need to take a laptop to my internship and I hope it comes with reasonable price and nice look. I want it to be portable and rigid. The CPU should be decent and support fast and accurate typing. Moreover, the speakers should be decent.",1,2,1,2,3
246,I am taking a laptop that is travel-friendly and lightweight. It should also bootup fast.,1,2,1,2,3
247,I need a well-built computer which is light and sleek so I can carry it around.,2,2,1,2,2
248,I need a computer with excellent expandability.,1,0,3,2,2
249,"I don't do gaming so I just need a nice, clear touchscreen.",2,2,0,2,2
250,I don't know if I would bring the laptop outside but anyway being lightweight isn't bad.,2,0,1,2,2
251,"I have a few points to note for a perfect laptop. The build quality ought to be amazing. It shouldn't look too fancy, and the key placements should be good.",1,0,1,2,2
252,I would like to have a light and fast computer.,1,4,1,2,2
253,I want to buy a new computer for gaming so I want it to download games quickly.,2,0,1,0,2
254,I need a new computer for myself that feel nice and run games well.,1,0,1,2,2
255,A computer that runs games well with a low cost is what I needed.,1,0,1,2,2
256,"The old computer is not satisfying so I want to find a new computer that comes with great value. I need it to run games perfectly under powerful CPU and GPU. I may store a lot of games so I need as much storage as it can. Moreover, it should boot up fast and have smooth keys. I want it to look great with some great display.",1,0,1,2,1
257,I want to have a new computer that handles games well and boots up quickly. A nice display is also important.,2,0,1,0,2
258,I plan to have a great bargain on a new computer.,3,2,1,2,2
259,I would be happy to receive a quality computer with my money paid.,1,0,1,2,2
260,I am finding a fast computer.,1,4,1,3,2
261,I am finding myself a nice computer which is fast and nicely designed. I need the graphics to be good.,1,0,1,2,2
262,I want to have a new laptop of office work and I need it to be lightweight and sleek with good build quality.,1,2,1,2,3
263,"For my meetings, I need a light computer with a long battery life.",3,2,3,2,4
264,My old computer is not working and I am finding something that is fast and lightweight. It should include a good battery life and a bright screen with a low cost.,1,4,1,2,2
265,I need a computer that is light and lasts long for me to work at the coffee shop.,2,2,1,2,3
266,I treasure every hour of work so I need a fast computer.,1,2,1,2,3
