index,need,cpu,graphicard,hardisk,ram,screen
61,I want to have a new computer that is easy to setup and produce good sound.,3,2,2,4,2
62,I need a new computer for myself and I want it to come with superb build quality. The screen should be good and the clicks should have nice tactility. I hope it would be sleek and economical.,3,2,2,0,3
63,I don't want to carry a heavy mechine around.,1,4,1,2,2
64,I am looking for a computer with high performance-cost ratio.,2,2,1,3,2
65,Quality and price must be balanced for my new computer.,2,2,1,2,3
66,I am a software developer and I need a fast computer to run my programmes.,2,0,1,0,2
67,I would look into the specs the computer comes with so it should have a large hard drive and a decent RAM.,3,2,1,2,2
68,I want something sleek to play my games well.,2,0,3,2,2
69,I am finding a new computer that the keyboard is nice looking and comfortable. The components should be great with good thermal system.,2,0,1,2,2
70,I am going to buy a new laptop online and I want it to have a good screen size.,3,2,1,4,2
71,I need everything to be fast including the startup and operating.,1,4,1,2,2
72,"As a college student, I need a great computer with an amazing price.",1,0,1,2,2
73,I am looking for a replacement of my old computer which I require it to have a high performance-cost ratio. The processing power should be good and there should be plenty of memory. I hope the screen is sturdy with good brightness range.,2,2,1,3,2
74,"I want the computer to stay within a reasonable price range, having a sensible fingerprint sensor and large amount of storage.",2,2,1,2,2
75,I would use the computer for light gaming so I hope the computer would play games well.,1,0,1,2,2
76,I need a computer which is fast and light. I want the design to be sleek. I need good storage capabilities to store my things and good speakers for gaming.,2,2,1,2,2
77,I am finding a replacement for a higher performance-cost ratio.,1,0,1,2,2
78,I enjoy playing games on my laptop so I hope the laptop do magnificent job of graphics and gameplay. All games should run smoothly on it and the audio quality ought to be good while gaming. I need to take it to schoold so a normal design is preferrable.,1,0,1,2,2
79,"I do pay attention to user response on computer and I am finding one that is quick, light and slim. The bezels should be narrow for the screen to show sharp images.",1,2,1,2,3
80,I pay attention to my gaming experience but I also want a low price for a good computer.,1,4,1,3,2
81,I need a computer with good processor.,2,2,1,2,3
82,I don't have much requirement for my new computer. I just want it to be economical and easy to set up.,3,2,1,4,2
83,I would like to have a new computer that has great colours.,3,2,1,4,2
84,I enjoy gaming and I am finding myself a computer that handle that with ease.,2,0,1,2,1
85,I have a number of files that need good memory to store them.,2,1,1,2,2
86,I tend to use my next computer for a long time so the graphics ought to be beautiful.,1,0,1,2,2
87,I am finding for a gaming laptop that startup fast and last long with a reasonable price.,2,0,3,2,2
88,I need a good functioning fan to be along with my computer. And I hope the battery life would be long enough.,1,0,5,2,2
89,I am finding the best computer that worth my money.,3,2,1,4,2
90,I need a high performance-cost ratio computer.,1,0,5,2,2
91,I need a good keypad on my computer to get my job done.,2,2,0,2,2
92,I use CAD programmes so I am finding a computer that run those programmes well.,1,4,1,3,2
93,I dont have much money so I need a computer that comes with a great price.,2,2,1,4,2
94,"My old computer is not working and I need a new one that bootup fast. It should be good looking and light so I can carry it around. The screen quality, the sound output and the battery life must be excellent.",1,4,1,2,2
95,I need a good gaming laptop.,1,0,5,2,2
96,I need a fast computer to do basic home stuff.,2,2,1,2,2
97,I am a teacher and I need the computer to look top notch.,1,4,1,2,2
98,I am replacing my old computer that I want a full sized keyboard with a number pad. The processor and cooling fans should be effective. I want the trackpad and speakers to be good also. There should not be a lot of preinstalled bloatware. I don't want the cost to be high though.,2,0,1,2,2
99,I am a software developer and I am finding a new computer that can run IDSs with no glitch in a low cost.,3,2,0,1,2
100,My old computer is not working and I am finding a computer with a high performance-cost ratio.,2,2,0,2,2
101,I want a fast and light computer.,2,2,1,2,2
102,My wife says she needs a computer that is easy to use and works well with Wifi.,2,2,1,2,2
103,A fast computer with a good price is what I want.,2,2,1,3,1
104,I do a lot of research online and I am finding a new computer with a reasonable price.,1,4,1,3,2
105,I don't really have much money but I wish to have a computer that can run games on ultra graphic settings.,1,0,1,2,2
106,I am finding a sturdy computer with a nice keyboard.,1,0,1,2,2
107,I want a light computer which can runs fast.,2,2,1,2,2
108,I like having computers having high performance-cost ratio.,1,0,3,2,2
109,I am in need of a new computer and it should work fantasticly for games. I would like it to have a glowing red keyboard and good sound output. Graphics are also important.,1,0,1,2,2
110,My old computer is not working and I need a fast and well built one.,2,2,1,2,1
111,A well-priced computer would be perfect for me.,1,0,1,2,1
112,I want a light computer but it should have a large screen. The keyboard should have nice clickness and the trackpad should be responsive. Hopefully the computer is fast and has tons of ports. The computer would be even better with a long battery life and a high performance-cost ratio.,3,2,3,2,2
113,I have got a lot of photos and I need a roomy device for that. I also want it to be lightweight and fast.,2,0,1,2,2
114,I want the computer to run fast while I am at school.,3,2,1,4,2
115,I want a light laptop which can startup fast.,3,2,3,2,2
116,I major in Computer Science and I am finding myself a quick computer.,3,2,2,0,3
117,"I need something to bring to work and I hope it would be thin, light and sturdy.",2,0,1,2,2
118,I want to have a new computer that is light and fast with a good screen size.,1,2,1,2,3
119,"I have got a list of requirements for my desire computer. First, it should have a nice screen. Second, the bluetooth connection and the AC WIFI should be stable. Third, I want to play games smoothly on it. Fourth, the battery life should be long enough. Fifth, I would need a nice keyboard and a nice trackpad in case I need to type at night. Sixth, the computer should bootup fast. Seventh, I need a nice video card. And last but not least, I need it to be quiet.",1,0,5,2,2
120,I am getting a new computer for myself and I need it to be good looking with a great price.,1,1,1,3,1
121,I don't want the new computer to constantly lag as my previous computer.,1,0,1,2,2
122,"I am buying a Christmas present and it should be quick, solid and light. I want the keyboard to be backlit with clearly lit and quiet keys and large touchpad. The SSD should be in high quality, as well as the Wifi performance. I hope there would be a gorgeous screen and great audio output.",2,0,3,2,2
123,I Skype with my friends so I need a good sound output so I hear them clearly. It should also be fast and light.,2,2,0,2,2
124,My gaming niece wants some right specs for his computer.,1,0,1,2,2
125,Our old computer are not fast enough so we need some new one with higher performance-cost ratio.,1,4,1,2,2
126,My husband wants a faster computer that his current one.,1,4,1,3,2
127,I need a computer that coordinate well with my iPhone.,2,2,0,2,2
128,I need some recommendations for an awesome gaming laptop.,1,0,1,2,1
129,I need to replace my old computer and I need the new one to be cost effective with a big screen. I don't want any bloatware. Good RAM and processor are expected.,1,4,1,3,2
130,I am a student and am looking for a laptop that has a long battery life and a nice screen. I need it to be fast and light. The keyboard should be comfortable to someone who has big hands like me. The case should be sturdy as well as fingerprint-resist.,2,2,4,4,2
131,My old computer doesn't perform games well so I need a new one. I also want a red lit keyboard to come with it.,1,0,1,2,2
132,"I am in need of a new computer that is slim, portable and affordable. The technical features should be strong and the battery life should be great.",3,2,2,0,3
133,"I am getting into gaming laptop so I want one that runs most games smoothly with good specs. The screen should have good viewing angles and the speakers should produce quality sound. I want the computer to run cool. Of course, it should look good with a reasonable price.",2,0,1,0,2
134,I do the computer for school work and I want it to come with slicky trackpad and good keyboard layout. I also want it to be sleek and solid.,3,2,3,2,2
135,I want some good-looking computer with good price.,2,2,1,3,2
136,I need a fast computer,3,2,1,4,2
137,"My old computer is not working anymore so I need a cheap, pretty, new computer.",3,2,1,4,2
138,I draw on my tablet so a style pen is a must.,3,2,5,4,3
139,I lost my old taplet so I am finding for a new one that show awesome graphics. I tend to watch movies on planes so it should come with a perfect size. I hope the keyboard to be sturdy and cover the tablet perfectly. I need the keys to be responsive. I sometimes do video calling with my children and it would be great if the microphone picks up sound well.,2,4,5,6,7
140,I used to use PCs but now I want a laptop with good hardware.,1,0,1,2,2
141,"I don't have much requirement for my new computer, it just need to be cheap.",2,1,1,2,2
142,I am using the new laptop to take appointment with my clients and I need it to startup fast and have good processor and SSD. I also want it to be thin and light.,1,2,1,2,3
143,I do basic business application on my laptop so I need sufficient amount of RAM and large drive of my data. I also need it to handle my task quickly. I would be grateful if it includes separate buttons for left and right click as my previous computer didn't. The computer have to stay within the budget of my company.,3,2,0,1,2
144,I would have no complaints as long as the new computer would start up in seconds.,1,0,1,2,1
145,"I am willing to wait for a computer that fits my needs: small, light and solid. The screen should be good.",3,2,2,0,3
146,Speed is what I concerned when buying a new computer.,2,2,1,2,0
147,I do some light gaming and I am finding an economical computer.,1,4,1,3,2
148,My household has different needs for a computer and so it should be fast and have great graphics.,2,1,1,2,2
149,I dont want my current computer anymore and I am looking for a new one coming with the perfect keyboard and screen.,3,2,2,0,3
150,I need a computer that is light and start up fast. I don't want the keyboard to be too fancy though.,2,2,1,2,2
151,I am looking for the best computer with the best price.,2,2,1,2,3
152,I read a lot of reviews and I decided I would buy a computer that is fast with a budget price.,1,4,1,2,2
153,I want to change my old computer and I need a new one with a reasonable price.,3,2,0,2,2
154,My old computer needs replacement and I am finding a thin one with awesome design.,2,0,1,0,2
155,A nice cooling stand would be good for my computer.,1,0,5,2,2
156,I would carry my computer around so it would be great to be thin.,3,2,5,4,3
157,"Out of all the features, colour is the aspect that I pay most attention on.",3,2,1,4,2
158,I am going to find a fast computer for myself.,2,0,1,2,1
159,I need the laptop to look much as a PC so it should have a full keyboard and a good touchscreen.,2,2,0,2,2
160,I am finding a new laptop for myself that has a high performance-cost ratio.,2,2,4,4,2
161,I need a nice backlit keyboard to do work at night.,1,2,1,2,3
162,I am looking for strong gaming laptop and it should be able to handle demanding games with a good build quality. I want it to have a soft touch finish and be easy to upgrade.,1,0,3,2,2
163,My old computer is not working properly so I want a computer with a higher performance-cost ratio.,3,2,2,0,3
164,I need the look of the computer to be sleek.,2,1,2,4,2
165,My wife asks me to buy her an economical yet powerful computer.,3,2,1,4,2
166,The computer should have a light but large enough screen accomplished with speed.,2,2,1,2,2
167,I want to have a fast and quiet computer.,2,0,1,2,2
168,I need a eye-catching display and a satisfying backlit keyboard for the computer.,2,2,1,2,2
169,I expect to see some good pictures on the screen.,2,2,1,1,1
170,I am finding a replacement for my old computer that a longer battery life is expected.,3,2,2,0,3
171,"For a light use of laptop, I am finding one that runs quickly with a low cost.",2,2,1,3,2
172,Specs are important aspect that I look into when purchasing a new computer.,1,4,1,3,2
173,"As a student of Systems Engineering, I need a fast and portable computer to get my programme done. The build quality should also be excellent.",3,2,2,0,3
174,I need a computer that is easy to setup and come with a high quality monitor.,1,1,1,3,1
175,I need to have a decent computer with a decent price.,1,0,3,2,2
176,I need a computer with impressing build.,1,0,5,2,2
177,"My old computer is not working and I need a light, new computer with a good screen.",1,0,1,2,2
178,I don't have an unlimited budget so I want a computer with a large screen and a fast processor. The keyboard action should be quick. It would be great if it comes with a DVD player with a great price.,2,2,1,2,1
179,I am buying a laptop for my son so that he can play games with no problem.,2,0,1,2,1
180,I am looking for a different brand from my current computer which would be fast and well priced.,1,4,1,3,2
181,I don't have a big budget so I need a computer that comes with a good price.,1,2,3,2,4
182,I need the specs to be perfect on my computer that means for the screen and the touchpad.,1,2,1,2,3
183,My old tablet finally died and I need a new one that comes with the right price.,1,2,3,2,4
184,An adequate screen should be installed on the computer.,1,1,1,3,1
185,I would do as much research as I could to find the best use of my money for a powerful computer.,1,4,1,3,2
186,"I am finding a replacement computer and it should be fast, light and easy to use.",2,2,1,1,1
187,The only thing I require on my computer is great specs with decent price.,2,0,1,2,2
188,A fast computer with a responsive touchscreen is what I need.,2,2,0,2,2
189,I would like to have a cute laptop with nice design and powerful processor. It would be better if it can play games well.,2,2,1,3,2
190,My previous computer does no good to me so I need a new one that is lightweight with fast startup time and nice keyboard design.,1,2,1,2,3
191,I hope there is not much trial software on the computer.,2,1,2,4,2
192,"The computer should have great build quality and specs, but also with a good price.",1,0,5,2,2
193,I want a fast computer with a nice fingerprint scanner to accelerate.,2,2,1,2,2
194,I need the computer to be big for me with a nice sound output.,2,2,0,2,2
195,It is time to replace my old computer to a quicker one with a better performance-cost ratio.,1,2,1,2,3
196,I need a light computer that holds my 3D programmes well.,3,2,2,0,3
197,I am planning to replace my old computer and I need the new one to run games fabulously. It should startup fast. Aesthetics seems important to me. The keyboard would be better to be lighted up. A good graphic card should come with a low cost.,1,0,1,2,2
198,I want to save my money for a good computer.,2,2,1,2,3
199,I am irritanted with the other PCs and I want to find one that startup fast with no bloatware.,2,2,0,2,2
200,I need to replace my old computer so I need a new computer with excellent CPU.,3,2,0,2,2
201,I play games on laptop and I am finding a professional computer for that.,1,0,1,2,2
202,"My old computer needs replacement and I need the new one to be lightweight, quick and economical.",3,2,2,0,3
203,"I need the computer to do well in gaming and editing, of course with a good price also.",1,0,5,2,2
204,I would use the new computer with my wife so I want it to look sleek and have a good speaker.,1,0,1,2,2
205,I want to change my old computer and I need a fast one with excellent battery life.,2,0,1,2,2
206,I focus on the design and I want a good looking computer.,3,2,1,4,2
207,We are finding a new computer with a reasonable price.,2,2,0,2,1
208,"I am new to gaming laptop and I want one that run flawlessly for games. Also, I want it to have great design and start up fast.",1,0,1,2,2
209,I like to have good design on my new computer and it should own a reasonable price.,1,0,1,2,1
210,I don't mind spending more money for a good computer.,3,2,0,1,2
211,My husband has to go for business trip so he needs a laptop with perfect size.,3,2,5,4,6
212,I am planning to buy a laptop for my son and he wants it to be lightweight and nice looking. The screen should be nice also.,1,2,1,2,3
213,I tend to look at other's reviews before purchasing a computer and I want one that play games well and quietly.,1,0,1,2,2
214,I like computers with beautiful colour and large screen.,3,2,1,4,2
215,I would use the computer with my children so I need it to be light and sturdy. The hinges should be good. I want it to be natural when I am drawing on it.,3,2,5,4,3
216,I want to play games with my friends so I need a new computer that can do well in that aspect.,1,4,1,3,2
217,My old computer is not working and I need a new with good size and colour.,3,2,1,4,2
218,I need a new computer for myself that is solidly built and has lots of features.,1,0,1,2,2
219,"I would not expect too much for a mid-range computer and all I want is powerful graphic card and backlit keyboard. Besides, I want it to be fast, light and expandable. The exterior design should be nice, and the unit should be able to keep cool.",2,0,3,2,2
220,I want a new computer that comes with a high performance-cost ratio.,2,2,1,3,2
221,I want the computer to run smoothly.,1,0,5,2,2
222,My old computer needs replacement and I need a new one with a good screen size and tight and responsive keys.,2,2,1,1,1
223,"I cannot play certain games with my friend on my old computer so I need a new laptop that play games well and stay in a good price. I also want it to run smoothly, cool and quietly. A sturdy computer with cool red backlit keyboard would be perfect.",1,0,1,2,1
224,I need to use a laptop out of my office hour so it should have good amount of RAM within a limited price.,2,1,1,2,2
225,I try to present myself with a computer that has a good price.,2,1,1,2,2
226,I won't expect too much for my new computer but a high performance-cost ratio is a must.,3,2,1,4,2
227,I want to get to use the computer as soon as possible so it's better to have some pre-loaded software.,3,2,0,2,2
228,I need a computer with long battery life.,1,0,5,2,2
229,I am planning an upgrade for my wife and she needs it to be lightweight and fast. The screen should be brilliant. There shouldn't be much bloatware.,3,2,3,2,4
230,"I have used my old computer for a long time and I am planning to replace it with a new one that has a much faster processing speed. I also want some nice quality of graphics on it. For the specs, I hope there will be useful built-in features and programmes, solid hard drive and a strong compatibility with Windows 10. For the keyboard, I think it would be amazing to be backlighted. I do gaming so I want some good gaming experience and long battery life for long-hour gaming. I may take it around so it should be light. ",1,0,1,2,2
231,I am looking for a new economical computer for myself and it should bootup fast and have a beautiful display. The keyboard would be good with great red backlit keys and separated number keypad.,1,0,1,2,2
232,I need a powerful computer with solid speakers and good built quality.,1,0,5,2,2
233,"I edit photos for a living and that's why the graphics must be great on my computer. A good screen would help even more. Besides, I want it to bootup fast and perform my games well. It should be sturdy with a nice, sharp keyboard. I hope the price would be reasonable though.",1,0,1,2,2
234,The display must be incredible on my new computer.,2,2,1,3,2
235,"As a fairly active gamer, I need a computer that is solid and bootup fast. The wireless connectivity should be good as well.",1,0,1,2,2
236,I would be willing to pay an affordable price for a computer with amazing sound.,3,2,2,0,3
237,I am finding a new computer that have good specs but low price.,1,1,1,2,1
238,A light computer is what I need.,1,4,1,3,2
239,I do streaming and gaming so I am finding a new laptop that does perfectly in both aspects.,2,2,0,2,2
240,I want to change my old computer and I am finding a new one that is nice looking and has nice backlit keys. The screen should be sharp though.,2,2,1,2,3
241,Weight is important to me when purchasing a laptop.,1,2,1,2,3
242,I don't have a huge budget so the new computer should be cost-effective.,1,4,1,3,2
243,My old computer is too slow and heavy so I need a new one.,1,4,1,2,2
244,I need a computer with a nice and sleek look and large space for my programmes.,2,2,1,2,2
245,I am finding a new computer for my personal use that is slim and has a nice keyboard. The startup should be fast.,2,0,1,0,2
246,"I need a computer that immdiately wakes when I use it. It would be better if it allows others to borrow my computer but not my account. The computer should have a long battery life and can be intergrated with my phone. Hopefully there is no system administration or virus software needed. It would be convenient if it doesn't need a transfer of files. I hope the computer would be secure to use, easy to use and simple to use.",2,2,4,4,2
247,I look into many reviews and all I want is a computer that is hast and cheap.,3,2,0,1,2
248,I need the computer to be within reasonable price.,1,0,5,2,2
249,I use my laptop for school so I need it to be light and sleek. It should also be fast and last long. The design and the touchscreen should be good as well.,3,2,1,2,2
250,"A computer which can quickly download stuff is which I need. I also need large SSD and RAM to store things. However, I want it to be light and have a small screen. It's better if it has a built-in SD drive.",1,4,3,2,3
251,I want a computer that stay in my budget.,1,0,5,2,2
252,I want to have a computer that would fit into my bag.,2,2,1,3,2
253,My old computer is not that up-to-date and I need a lighter one with a good keyboard and a good touchpad.,1,2,1,2,3
254,I am in need of a new computer that is sleek and compact.,2,2,1,2,3
255,I am new to laptop and I need a laptop that has a good touch screen and a big hard drive but a good price.,2,2,1,2,0
256,I want a fast and responsive computer.,1,0,5,2,2
257,I am not finding a fancy computer but a powerful computer with a low cost.,3,2,0,1,2
258,The computer I need should have a high performance-cost ratio and be solidly constructed. I want to feel premium while using the computer.,1,0,5,2,2
259,I want to gift a nicely priced computer to my brother-in-law.,1,4,1,3,2
260,I am finding a fast computer.,2,2,1,4,2
261,"I don't want an overheated computer so the cooling system should be quiet and efficient. I want the audio sound to be decent. Also, it should do quick boot up.",1,0,1,2,1
262,I need some good specs on the computer for my business.,2,0,1,2,2
263,I need a computer for everyday use that comes with a high performance-cost ratio.,1,4,1,2,2
264,My old computer doesn't work for me anymore and I am finding a new one with terrifc specs in a great price. The case should be classy and not attachable to fingerprint.,3,2,1,2,2
265,I want the computer to be quiet and stay cool while playing games with a high perfomance-cost ratio.,1,0,5,2,2
266,I need a light computer so I can carry it around.,2,2,0,2,2
