index,review,cpu,graphicard,hardisk,ram,screen
18,"It might a bit too early to write a review, but I've had this for a few solid days now and overall impression is excellent.For $200, you have to forgive its shortcomings and set your expectations realistically-- but it is still impressive what you can do with a laptop computer that costs less than your average tablet. Even at $300 or $400, I'd say this is still a good buy.Like a lot of people, I have multiple computers that each serve a niche. I have: Apple MacBook Air 13"" Early-2014 (i5 with 256GB SSD), iPad 2 32GB, Samsung Note 4, Note 5, Note 3, Galaxy S3, Galaxy S4, Galaxy S5, iPhone 5S, iPhone 4S, etc. [I buy and sell used and fix phones, so I have a lot of phones: main phone now is the Note 4...], and an old home-built AMD Windows 7 Desktop (used to be gaming machine with 2 video cards).My #1 rule with laptops is that it has to be light and portable, otherwise why bother. In real estate, it's ""location, location, location"". In laptops, it's ""weight, weight, weight"". This is why my MacBook Air is my main computer. I carry that thing everywhere and battery life is great. But alas! I have a need for a Windows computer, and my old home-brewed desktop is aging (almost 10 years old now) and I figure a lightweight laptop would be nice. Since it's not my main computer, I can forgo a lot of features and storage space, so I was looking for something compact and light. I used to have a ""netbook"" from Samsung about 5 years ago which was very small with cramped keyboard and very very slow, and I wasn't impressed. So I bought this E200HA with some hesitation that it might be the same type of ""netbook"". For $200, what the hell, I said...I mainly need a Windows machine because I currently run a few Windows-only programs on my Mac via emulation and as anyone knows, emulation is very laggy and slow. So the 2 things my Windows laptop needs to run are: 1. Quickbooks, which I use for my small business accounting [their Mac version doesn't have features that their Windows version has, which I need (inventory-related features)], and 2. Proprietary BMW software for reading error codes and programming the car (INPA, EDIBAS, NC Expert, etc.). Mind you, I've been running these on my Mac for a few years now, but at painfully slow speeds. The Asus E200HA handles these software well, so it serves it purpose and therefore I am happy.But beyond that, it impressed me with its long battery life (I got about 11 hours at 80% screen brightness and moderate use), multi-task ability (4GB of RAM)-- I have 10 tabs open in Google Chrome and no lag. I don't know what some of the other reviewers saying you can't have more than 2 tabs open... YouTube videos stream fine. I have an average of about 3-4 programs open in addition to my Chrome browser and it works fine, no lag, no crashes.The computer's internal drive is 32GB SSD (solid-state drive-- no moving parts), which after the default Windows 10 64-Bit Home Edition install leaves about 17GB of free space for storage. I put in a 64GB MicroSD card in the slot for extra storage, but haven't used it yet. I'm down to 8GB free on my main SSD. A 128GB SD card also works, FYI, even though officially Asus says 64GB max. The faster USB 3 port is to the left and the slower USB 2 port is to the right. They work as intended. I hooked up my external Seagate Slim 2TB drive to the USB 3.0 port and transfers are fast as expected. The power supply looks a bit like a USB or Thunderbolt, but it's not-- it's a proprietary plug. The charger itself is very light, like a cell phone charger. External video is possible via a mini HDMI port (you need a mini-HDMI to standard-HDMI cable or adapter-- the cable is like $7 from AmazonBasics, not too bad). The trackpad is large like on a Macbook, and has gesture, but not as elegant or good as the one on my Mac, but still good for 2-finger scrolling and touch tapping. The keyboard is a bit plasticy and light and a bit smaller scale than a full-size keyboard, but not too shabby. Screen isn't anything impressive, but it gets quite bright at 100% brightness. ASUS has a guarantee on dead pixels, so that's good to know.All in all, for $200 this is quite a bargain and a great little computer. The 32GB internal storage was a concern for me, but if this isn't your main computer, it's nothing to worry about. If it is, you need to budget ~$40 for a 128GB SD Card or ~$80 for an external USB 3.0 2TB drive.",3,1,5,4,3
19,Absolutely terrific,3,2,2,4,2
20,"This is a very nice laptop with a full range of features for the selling price. The 7th Gen Intel i5 Core with 2.5Ghz is a quick enough processor for my speed needs. The 1TB HDD has more than enough capacity for my storage needs. And I find the Business Manager and Fingerprint Scanner very helpful in IT managing and security issues. Five stars for affordability vs features, speed and capacity.",2,2,1,2,2
21,"I deal a lot with Laptops, was expecting so much more from this little guy but the processor is absolutely garbage. No matter how many times you run a disc clean up, cc cleaner, etc that won't stop the processor from giving a 100 percent usage all the time. Don't even bother uninstalling apps to speed it up, I removed all the useless apps, but the Processor is always having a hard time, and lags constantly. The worst part is that every 20 minutes the screen has a quick 0.5 second crash! The touch-pad is also terrible, a wireless mouse is needed at all times.",3,2,5,4,6
22,"My daughters HP laptop started giving up the ghost and she needed a replacement fairly quickly. I have had great luck with Acer laptops in the past so I thought I would try the Acer Nitro 5.My first impression is that this laptop was a bit bigger and heavier than most of the laptops I have purchased in recent years. The casing feels to be mostly of plastic. While it is solid and sturdy feeling, it does give it a bit of a cheap feeling.My daughter mainly uses the PC for academics and light gaming. For this, the PC has performed superbly.The only thing I thought was just OK was the sound quality. I know that laptops generally do not have good sound quality, but I thought the speakers and sound in this laptop were a bit mediocre. The sound was not terrible, but it sure was not excellent either.Personally, I loved the HD screen on this PC. The light up keyboard is a nice touch I thought. Battery life runs about 5 to 6 hours with surfing and online use.After about 6 months of use, the laptop is still running like a champ. I have yet to encounter an issue.Overall, I have been very happy with this laptop. I would highly recommend this latptop for someone looking for a good laptop at a good price.",2,0,3,2,2
23,I'm still getting used to this laptop. The keyboard is a bit different than I'm used to using.Overall performance has been fine.,2,2,1,2,2
24,"I purchased this computer for simple tasks: HTML files and to play on the internet. It worked perfectly for a couple of months. Then Microsoft updated its operating system so it wanted to update on my system. No problem. But then I started getting messages that MS could not update because I needed 8 gigs of memory (remember, this is a 4 gig machine). After a while, I decided to go buy some extra gigs. Well there is the problem. The first guy that I went to said that this was not the type of machine where you add a memory, the memory is welded in. So I got a second opinion who told me that it would be easier just to buy a new computer.Then it started doing this thing where if I try to search the internet, Windows 10 is trying to update so it interrupts and I have to push ""no"" don't try to install because if I push ""yes"" then it tries to install and errors out. It has since become slow and almost unworkable because it is not up-to-date with viruses software or whatever windows is trying to install.My point to this story is that I was sold a system with an operating system that becomes inoperable within a couple of months. In if you take the initiative to try to upgrade to the point where the operating system should work, you will be told by multiple technicians that there is nothing that they can do.",2,2,5,4,6
25,I would say get then it's 800 dollars can't go wrong this is not a gaming laptop it can play games but it's not the best experience if you get it the display is utter trash so don't bother using this display and the SSD is low end so don't expect blazing fast profotmance but it will boot and run programs like you expected to. Here's the good stuff the build quality is really good and the laptop Is thing and light it has a 130w power supply and you can upgrade this by removing on screw on the back you can add ram replace the SSD and hard drive,1,0,1,2,2
26,"Pros:Quick processor and above-average graphic card8GB DDR4 memory, one stick so that increasing system memory up to16GB requires the purchase of only one more stick of memory vice having to buy two sticks of 8GB.Fingerprint biometric logon.TPM.Clear text matted screen that reduces eye-strain over long sessions of use.No pre-loaded crapware.Cons:The battery that comes with the laptop is model # A41N1421{1}, which is a beefed-up version of the reseller available A41N1421. The reseller battery A41N1421 is rated at an anemic 37Wh and 2600mAh. The A41N1421{1} original battery is rated at 48Wh and 3700mAh, which accounts for the advertised 9hr battery life. The A41N1421{1} is NOT available in the ASUS store. It is also not available anywhere else since it is an ASUS proprietary battery. So if you need an original battery replacement, you are SOL.The ADP-65GD B model power supply that ships with this notebook has a smaller proprietary plug configuration (4.5mm x P0.6 x 10mm 3/ 2 pin compact power supply system) compared to that of a conventional ADP-65GD B power supply that has a plug which is too big (5.5mm x 2.5mm) for insertion into this computer. After much testing with many other power supplies with the same power, voltage and plug dimensions, it is obvious to me that the computer is designed to be powered only with ASUS power adapters. ASUS does sell an over-expensive $80 90W multi-plug power supply witch has the proprietary 4.5mm plug. This power adapter will not give you a re-connect warning prompt. I would recommend the immediate purchase of this ASUS power adapter, since if something happens to the original power supply then the laptop would be rendered useless after the battery depletes.",2,2,1,2,2
27,This is a very nice laptop. I am really happy with my purchase.,2,2,1,2,0
28,"Disappointed to find that this product was used, box had been open and it had scuff marks on it. Understand that its a good price but it doesnt say anything in the description about the item being a return or used. BUYER BEWARE",0,2,3,2,4
29,"Cool design. Powerful. Beautiful display. Light and built very well, very solid.",1,0,1,2,2
30,"i like it. nice design, very light, good battery (about 12h)...sometimes a bit slow, and camera could be better, but it is great for travel or daily use for students :)",3,1,5,4,3
31,"It was a gift, they are very happy with their Acer... I though It was a regular laptop but it was what they call a tablet??? as long as they are happy I am happy!",2,2,5,4,2
32,This computer was for my boyfriend and he is super happy about the size of the screen and the touchscreen capability. He works very well. I'd buy again.,2,2,0,2,2
33,"Insanely Slow, i was doing work on my phone faster then this. Returned it right away. Constant crashing while installing programs, and they took forever to install. Just spend a lil more for a better laptop and save your self the trouble",2,4,1,2,2
34,"Bought this lap top for my wife and purchased due to price and the size. My first ASUS and you get what you pay for.. I guess it not so much ASUS but Windows 10. It stinks. The track pad is not responsive, it jumps around. Sometimes the cursor/arrow disappears and Windows is always trying to sell you something or direct you MSN or some other Microsoft owned company by way of popups. Very annoying. My Mac Book Air blows it away, but then again, it was four times the price.",3,1,5,4,3
35,"I purchased this lap-top because I started taking class, blue is my favorite color, and it's lightweight (puuur-fect to cuddle-up in bed with).Really happy with this laptop! It's small, easy to carry around but has all the features I need. Windows 10, room for lots of pics I'm enjoying this so much I bought one for my granddaughter. Great price too. Not for extreme gaming or anything crazy. But, for typing papers surfing the web, bulding resumes. Checking email. Even watching movies. Its great. Not a huge hard drive but it is very cloud friendly.",2,2,5,4,6
36,So far so good. SSD makes startup a breeze. That alone is worth the tad bit more money. The graphics card is fine. I run games on medium graphic settings to avoid FPS drops and network lag and so far it has been smooth sailing.,2,0,1,2,2
37,"This computer is excellent for the price! I purchased this laptop for my Daughter for under $200 dollars! I bought it for her for Christmas so she could play her Sims4 on it. With the memory that is built in it, the Windows 10, and all the updates you couldn't really download a huge game like the Sims4. So I went to Staples and bought a 64 GB flash drive for $20 dollars and now she is able to download and play all kinds of games including her Sims. This computer is made for just Web browsing, Work, or School work but if you have the extra money to get a SD card or Flash Drive and you want to use it to play games, I would suggest doing these options first before getting an external hard drive. I know my Daughter loves it. I also bought the rainbow keyboard to go with it! Now she can have it to play games which I am happy because that's what I initially bought it for! You definitely can't beat the price! One happy customer! ",2,4,5,4,3
38,Bigger and better than we expected it to be.,2,2,5,4,2
39,"I absolutely love this machine. I had never owned a Chromebook before but at this price point I don't think I'd consider getting a Mac again. Beautiful design, light weight, fantastic display, decent battery and instant start up.",2,4,5,4,5
40,"Followed the instructions out of the box through all of the tedious steps for set up, expecting that things would speed up after everything was finished...wrong! This is the slowest computer that I have used since the age of dial-up internet. Take your 10 year old laptop out of the closet and dust it off...you will probably prefer it to this pathetic excuse for a computer.",2,2,1,4,2
41,"I love it. The packaging for shipment was superb. One would have thought they were shipping nitroglycerin. There were multiple boxes and protective cushioning. The laptop arrived safe and secure. Set up was easy for this tech challenged, non-geek. The system is amazingly fast, at least to me. It is quiter than I expected given the comments of other reviewers. The sound system is great for a laptop computer. I was expecting mediocre sound. I have only had it for a few weeks and am very pleased with my decision to buy it. There are so many choices out there, it can make one dizzy to finalize a decision among them. The unit is solid and feels well made. My only beef is the backlite key board. It is lite up like a Christmas tree with all the colors and from the seated viewing position the light shines from the sides of the keys rather brightly. But, no big deal for me. I do wish the Predator introduction screen with loud obnoxious noise could be eliminated. That gets old quickly.I'd recommend this system.",2,0,1,0,1
42,Full satisfaction.,2,2,1,2,2
43,great work computer,3,1,2,4,2
44,It was beat up! And I had not researched what I was getting. Wanted a convert to touch screen also,2,2,5,4,3
45,Great laptop but it misses brightness sensor.,2,2,3,2,2
46,"Excellent product, ASUS Quality. The full size keyboard is a nice feature. Windows as expected has some performance limitations. Overall an excellent product and value for the money.",3,1,5,4,3
47,"the price was good but the unit has intermittent glitches, we have since purchased a new laptop",2,4,5,4,3
48,"I love this computer ! I've never had a gold one or one this small but it doesn't seem TOO small. I can carry it around with 2 fingers, seems to totally charge up in less than 2 hours. I really like the keyboard. I don't know what it is about it that's different than all the others I've ever used - keys are bigger, closer together ? I dunno, but it's very easy to type on this. It's repackaged or refurbished or something but looks brand new :o) ADDENDUM: LOVE THIS COMPUTER, WHEN IT WORKS ! I USED IT TWICE, EVERYTHING WAS FINE. SHUT IT OFF BY JUST CLOSING THE SCREEN. WHEN I TURNED IT BACK ON, IT WOULDN'T CONNECT. SAID NO WIFI DEVICES PRESENT ON COMPUTER. I REBOOTED, SCANNED, CLICKED EVERYTHING, REBOOTED MODEM ... FINALLY AFTER 2 HOURS, THE RED X ON THE WIRELESS ADAPTER OR SOMETHING WENT AWAY. WORKED A FEW MORE TIMES. I CLOSED IT AGAIN WITHOUT LOGGING OFF, TRIED TO TURN IT ON AGAIN 2 MINUTES LATER, IT WOULDN'T. THIS TIME I SPENT PROBABLY 3 HOURS CLICKING EVERYTHING I COULD, READ EBOOK ONLINE, NOTHING ... HOPFULLY THE SELLER WILL GIVE ME ALL MY MONEY BACK ! IT WAS THE FIRST ASUS AND FIRST USED COMPUTER I'VE EVER BOUGHT, AND THE LAST ! I THOUGHT IT WAS USED, AS IN OPENED AND RETURNED BY SOMEONE ELSE BUT MAYBE NOT ?",3,1,5,4,3
49,Love this fast light weight computer. I use Corel draw on it and heavy duty embroidery software. Fast and easy,1,2,3,2,4
50,"Product could barely run basic functions i.e. internet explorer, download applications, etc. customer service was as poor as the product.",2,4,1,2,2
51,Bought the same model in local store this month.The updated CPU is a quad core compared with the previous dual-core i5. The boosted frequency is 3.4 GHz which is amazing!And the 12 GB ram is really really useful.Love it!,3,2,0,1,2
52,"This laptop is slower than a slow death. If you are going to use it for anything other than a dust collector DO NOT BUY it. It DOES NOT like running Flash - so if you play FB games powered by Flash, prepare to pull your hair out. Hopefully I can return it and get my money back. Although, for $300 I guess i got what I paid for.",3,2,2,4,2
53,Trouble displaying websites,3,4,5,5,6
54,"I'm not sure that it would be a good buy at $999.00 but if you watch out for specials it is a great deal. I got mine for $799.00 and at that price I think it is excellent. I bought the 128GB/4GB Ram version and it works great. One of the tasks I wanted this for was for photography editing on affinity photo. I was worried that the 4gb of ram would not be enough. I figured that if it wasn't enough i could always return it. but fortunately the laptop is holding its own. However I wouldn't recommend for video editing. Other features I really like on this are the Windows Hello feature. It works insanely well. Also, the track pad is amazing! The best I've ever seen on a PC. I didn't give windows 10 S a chance so I can't review that. The first thing I did was upgrade to Windows 10 Pro. This upgrade is available until 3/30/18 so don't wait too long if you're interested in this. After that date I read it will be a $50 upgrade.",1,2,3,2,4
55,"I bought this PC to replace my cheap, 4 year old laptop. I was looking for something I can play newer titles such as Fortnite and Rocket League as well as older titles from the 90's and early 2000's. In addition, I wanted a fast processor to use business applications and internet browsers without any slowdown.The box looks awesome and came in a shipping box, which prevented any dents or damage. In the attached pictures, you can see everything it came with as well as detailed warranty information.For the past 3 months, this computer has met my expectations and more. While gaming, every game I've tried has successfully ran. Some games cannot run on the highest performance settings, but that was expected. Medium to high settings work well and look great.League of Legends- 60+ FPS, High graphicsAge of Empires III- 60 FPS, Mid-High graphicsRocket League- 50 FPS, High graphicsOld single player titles (Portal 2, Age of Empires II, Half-Life)- No limitationsMy biggest pet peeve is slow applications. I have run multiple webpages, Excel worksheets, and YouTube video simultaneously without any delay switching between tasks or within the applications.Overall, I recommend this laptop for any casual gamer or business professional.Hope this helps!",2,0,1,2,2
56,"I am so happy have this item at father's day in good price, I love Amazon gave this chance.",2,4,5,4,5
57,It came with a faulty motherboard. Had to send it to dell to fix.,2,2,1,3,2
58,I researched and researched and read reviews and more reviews until my head was spinning. I love my laptop. Good decision to buy this one. Its fast and easy to use. Set up was straightforward and simple. Love my laptop.,2,2,0,2,2
59,Great laptop for the price! I would definitely purchase this again!,1,4,1,3,2
60,Really wanted a 64 bit computer. Hence it is a little slower than expected.,3,2,1,4,2
61,"I purchased this laptop primarily for writing and research and so far I am very pleased with its performance. I installed 128 GB card so it covers all my needs for storage. Excellent portability is another reason I selected this Asus model. You quickly adapt to the size. Keyboard feels great and the battery life is fantastic as stated in many other reviews. Just be clear on what you want your laptop to be able to do and buy accordingly. For the performance I need and the price, this was the right choice for me.",3,1,5,4,3
62,Five star for sure! I'm impressed with my chromebook! I would 100% recommend this to anyone! Could I advertise this on my website?,2,2,5,4,2
63,"At the time price was great. Giving the benefit of the doubt and time since last purchasing a HP, thought they would improve.In my sincere and honest opinion, still not satisfied. Poor performance.Keep in mind, this is my and only not opinion.One must judge for themselves.",3,1,2,4,2
64,What I like about it is that having a Solid State Drive means that starts quickly and having 8GB RAM means that it operates fast even when numerous programs are running and when memory hungry programs are running. What is a minor issue is that the fairly heavy power supply plugs directly into the power point meaning that the extra weight can cause the power supply to come loose easily. It would be better to have a short cord between the plug and the power supply so that this looseness doesn't happen.,1,4,1,2,2
65,"Works well for everyday home chores. Screen is crisp, bright and as good as many that are more expensive",3,1,2,4,2
66,"Slow, unresponsive, didnt boot up on first use",2,2,1,4,2
67,"Got here in less than 2 days, and started right up. Excellent. Some cosmetic imperfections, but all in all great product!!",2,2,5,4,3
68,"TINY speakers with very poor volume - You can barely have a zoom call without headphones. Printing is a nightmare if your printer is not google chrome compatible. You can not save photo files from the web as .jpgs. Since it has no regular USD you need adaptors for every hard drive or external connection. The guy at best buy said ""A chrombook is not a computer, it is a glorified web browser"" and the longer I used it, the more I found that to be true. I would never ever buy a chromebook again, its just way too limited in what it can do.",2,4,5,4,5
69,"Great computer, worth the money. Fingerprint scanner works flawlessly.",2,2,1,2,2
70,The keyboard is so horrible and it is non replaceable anytime I type a paragraph at least a few words have missing letters because the key board doesnt pick up the letter,2,0,1,2,2
71,"Likes :2 Games included. (Age of Empires & Gears of War 4) I am a veteran for AOE. + 1 StarGreat Components : 8th Gen CPU. 2666Mhz RAM. Firecuda HDD. IPS panel + 2 StarLatest WiFi : Gigabit WiFi 802.11AC ""Wave 2"". + 1 StarDurable keyboard & nice layout. Responsive & comfortable + 1 StarGood thermal system. There is an noise optimization tool, 3 profiles to choose from silent, balance, turbo. Recommend to switch to silent mode when not playing games. + 1 StarDislike :No Type C port. Although no big deal but - 0.5 StarNo click button on touch pad - 0.5 star",2,0,1,2,2
72,Great package laptop. Battery life is not that great but that is to be expected for a gaming system. I would recommend for someone looking for an entry gaming or work station system.,2,0,1,2,2
73,Very nice laptop. I have been running it for a couple months without any issues,1,0,3,2,2
74,"Good computer for my future, It has everything I need. It runs on Google Chrome OS like a cell phone and google provides virus protection. It links to my PC for printing until I upgrade to a Chromebook compatible printer. Long battery hours and light weight. I have been using it for a week and I love it.",2,2,5,4,2
75,The notebook is perfect. The only problem was that it arrived with some scratches on the cover.,1,0,1,2,2
76,"Wife loves this laptop. Allows her to watch movies on-line, surf the web, shop and do all the modern things one does on a laptop. Much faster than her 2 year old Dell it replaced. Wouldn't want to play any high graphic games on it but for everyday use, email, word etc it is great.",2,2,1,3,2
77,"I just love using this device. I have the i5 8GB, and it feels very snappy. Great build quality as well.",0,2,3,2,4
78,"I don't write a lot of reviews - but I have to say in the first week of use, this laptop is awesome. I'm not a pc gamer, so I can't tell you about that. But for basic programs, Internet, email, etc. one of the best machines I've ever used - and I work in IT for a livinging.",1,0,1,2,2
79,the chrome os has crashed twice in the past 6 weeks. first time i simply turned it on and off. now it wont do anything. i went through the chrome os recovery utility and still no good. can i get any help?,2,2,5,4,2
80,"The battery will not hold a charge, so this isn't really a lap top. I like the ASUS brand, I just think I got a bad battery.",3,2,2,4,2
81,"I'd say the best affordable laptop out there: powerful, fast, sleek looking and perfect in every aspect. Bought the one with an ssd included, this laptop is awesome for work, couldn't be more happy.",1,4,1,2,2
82,Es muy lenta,2,1,2,4,2
83,This thing is for surfing the web and it is good for it. The touch screen and stylus will spoil you. I am not joking about that. When I use my old laptop now I find myself touching the screen.,2,4,5,4,5
84,"Lenovo Quad-Core AMD FX-7500 APU up to 3.30 GHz, 16GB DDR3, 1TB HDD, AMD Radeon R7, DVDRW, WLAN, Bluetooth, Windows 10Ever since I bought the laptop, it was very slow. I hardly had anything installed in it. Bought it for my grade school kids. They uses google drive to save everything. Kids have kept complaining about how slow the laptop was, but I ignored them. A week ago, I used the laptop to go online and noticed it was slow. I tried using different sites, installed chrome, Firefox and IE. They were all showed performance. I took the laptop to a reputable service center. They diagnosed it and found out that the hard drive came with the laptop was terrible and not functioning property I had to replace the hard drive and get much smaller HD with 250GB. It cost me $230 in total. If I had known this when I bought it, I would have never bought this form this Seller: Sold by: U-DIGi.",2,1,1,2,2
85,Great experience with the Seller. Happy with the product so far.,2,2,5,4,2
86,"This review covers the i5379 etc. etc. since Amazon seems to lump reviews for different models together. Dell's unfortunate naming schemes don't help either.In case you hadn't noticed, notebook computers have gone off the deep end lately, trying to prove they're all sorts of things they're not, like tablets, or the ridiculous ""tented"" device you see in the product image. We get it, nearly every laptop has hinges that are fully articulated now. It's neither novel nor particularly useful most of the time. Let's get on with it.As a laptop, this is pretty decent. It has slim, ""ultrabook"" dimensions, although I think a proper ultrabook is at least somewhat metal/magnesium alloy in construction rather than plain plastic. The build quality of this laptop is fair, but nothing more. It feels a lot better than a $300 device, but is well behind a $1000+ device. For what Dell is asking I believe they could have tried a little harder on this front. However, it feels solid, has a nice screen, and the keyboard is tolerable. It's a decent lower-mid-range notebook. I don't like the massive bezel along the bottom of the screen (it's the one you see the upside-down ""Dell"" logo on the top of the tented version), and wish the screen format was just a little taller to actually use that real estate. The screen is otherwise quite good, though, and the touch screen is very responsive.A lot of the cost comes from the inclusion of the newest 8th-gen Core i5 processor. I have found it to be a pretty capable mobile processor, which handled my photo editing software well enough (although the 13"" screen is too small for proper editing, it works in a pinch) and is fast and smooth for loading lots of browser tabs, streaming video and other notebook things. It's not a gaming rig, of course. I do find the fresh and up-to-date Windows 10 OS boots exceptionally quickly and is responsive and easy to use.Overall this device is a curious mix of old and new. It's a mid-range Dell notebook, and as such is made with some sub-par materials and build quality. that's the old. The new is that, unfortunately, it tries to be hip by (literally) standing on its head. It's a fast and light notebook that will handle most of what you throw at it, but please for the love of all that's good, don't flip it upside down and stare that that upside-down Dell logo while you're streaming Netflix. It's a laptop, people.",1,2,3,2,4
87,"Very nice computers however, we needed these units to complete PDF Fillable forms. Chrome is the only browser option available and is not compatible. These units needed to be returned & replaced with computers that support Internet Explorer. Buyer beware if this is your need as well.",2,2,5,4,2
88,Excellent laptop to use and to navigate,3,2,0,2,2
89,"Update: I have had good luck so far with the replacement laptop Amazon sent me. I would still hate to be outside my return window with this one though, considering my (and others') experience. I am still not a fan of the emmc storage and soldered RAM. That's just asking for catastrophic failure and/or obsolescence. For now, upping review to three stars.Do NOT buy... This laptop might seem to have decent reviews but it is fatally flawed. The emmc storage (hard drive) WILL fail... It's not a matter of ""if,"" but ""when."" Asus provides no real support, hopefully you are still within your Amazon return window.",3,1,5,4,3
90,Great thin surface laptop. Great for its price. Say bye to macbooks.,0,2,3,2,4
91,"As of now.... I would not recommend! Purchased as a Christmas gift and only used it 35 min and it shut down, we charged it and reset but never turned back on! Waiting on replacement from amazon...hope its not defective as well!",3,4,5,4,3
92,"I purchased this Chromebook for online classes primarily. I already utilized google apps and programs prior when I had an android phone. You can't download any kind of software or anything to it, which is why there's so little space on the hard drive. It's not necessary. You do get up to 100GB of storage space on your google drive for a year or two though. For school purposes, I use Office Online since I can't download the actual software to the computer, and it works pretty much just the same. I also use it for facebook, email, shopping, etc.. It can definitely be a tiny bit slow if you're trying to look at a ton of stuff at once. I had to disable the autoplay on my facebook so it doesn't play the videos automatically and slow it down. But all in all, this does exactly what I purchased it for. I have a regular laptop if I need any additional processing power or storage space.The laptop may be refurbished, but it came in perfect condition. No scratches or dents, and no issues with the way it runs at all.",2,2,5,4,2
93,"If you're looking for a Macbook alternative, the Surface line is the go to option. This laptop has incredible build quality and feels like a tank. The hinge is perfectly tuned so you can open it with one hand, but still stiff enough to not wobble when using the touchscreen.Even though it's using last years 7th generation processor, in 2018, this is still a fine laptop. It handles most everything I can throw at it with ease, only slowing down with numerous apps open and >20 chrome tabs.If you get the machine with Windows 10 S, upgrade to Pro right away. It's free.Screen quality is top notch. Colors are vibrant, and it's bright enough to see outdoors. It also gets dim enough to use at night in bed, which not all laptops can do. The keyboard is excellent, much much better than the atrocity that is the 2016+ Macbook's. Battery life is excellent as well, ranging between 7-10 hours depending on what I'm doing.All in all, a great laptop. It's pricey, but you get what you pay for.",1,2,3,2,4
