index,review,cpu,graphicard,hardisk,ram,screen
15,"I don't see why this computer is getting so many good reviews. In fact, I am suspicious. I bought it to replace my 4-year-old ThinkPad X230. I barely noticed a difference. I am not a gamer but I do use programs like Sketchup which my slows down my current machine a lot. I thought a gaming laptop would be good for that. This thing just sucked all around. I had it for about 2 weeks and it was starting to crash when using Chrome,at least once per day. To top it all off, I attended an all day seminar this week and planned to be on my laptop all day. You would think a brand new laptop would have 8 hours of battery power. (It was fully charged, I keep it plugged in at home). IT DIED AFTER 3 HOURS AND 20 MINUTES. I know because I arrived at 7:45am and looked at the time it died, and it was 11:06. All I was doing on it was using MS Word and surfing the net. Not watching video. This was the last straw and it is now on its way back to the seller. (Not Amazon; I am putting the review here rather than on the seller's site because I do not want to p*ss them off while the return is in progress. But I wanted to tell others how much this purchase sucked and how very disappointed I am in this product.)",1,0,1,2,2
16,"I have one model earlier than this laptop, and it has been almost exactly 1 year since I bought it. I bought this laptop because I needed something cheap that I could use for 3D work on the go, take into meetings, etc.This is a really fantastic laptop if you want a good price for great performance. In its unused time, I have been running it 24/7 constantly calculating BOINC calculations for the SETI massive parallel computation project. This is a killer calculation that is very hard on computers, maxing out both the CPU and the GPU simultaneously. My Macbook air overheated and totally died after just a few months running like this. Two of my desktops also choked on it. This laptop, though, gets really hot, but just keeps on going!Performance wise, it has been great for just about every game I have played on it. It's pretty close to desktop level performance. I also was running the Oculus Rift with it (on a GTX 1060 card) without issue, so the newer model with even upgraded specifications should be great for such tasks.Reliability wise, it's just kept on going. It has be very dependable.It's a larger laptop, so maybe not for everyone. It gets hot in use, and it is really hungry for power with a quite short battery life. It's enough to get through a meeting, but if I'm the presenter I will always bring my power brick.I cannot speak for their tech support / service, as I never had the need, which I guess is good.We bought several others for folks at my work, and they have all been running great as well, as far as I know.Bottom line: This is a great ""lots of power for the money"" laptop that has been super reliable for me, and I would recommend it to anyone with similar needs to me, but not if all you need a super lightweight long battery life unit for just email and facebook.",2,0,1,2,2
17,The best laptop with this price!!,1,0,1,2,1
18,As a gaming pc this thing is garbage. Its contently freezing. The sound is awful. But on the bright side it likes to stay up to date no matter what you are doing....if the updates work,1,0,1,2,2
19,"I had one of these and was underwhelmed (finally sent it back). It's not fast, it's not as light as it should be, and it would freeze and stutter and was just basically disappointing overall. For $1300 you get the Intel core i5 (NOT the i7) and only 8G of RAM, which is not nearly enough to run Win 10 well at all. My advice? By something else- for $1300 you can get one speed demon of a laptop that will blow this thing out of the water. This is just my opinion, your mileage may vary.",1,2,3,2,4
20,DONt know why but the sound keeps messing up. Other wise good product shipping was on point!,2,2,1,4,2
21,"This is a punchy little laptop for its price that pleasantly surprised me in a lot of ways, and disappointed me in others. Part of my amazement with some of it probably has to do with the fact that my everyday workhorse laptop is a couple of years old, now. It certainly feels outdated next to this thing! I'll start with the good.* The laptop is REALLY light. When the box came, my husband didn't believe there could really be a laptop inside. He thought I was joking when I told him that's what it was. Weight doesn't honestly matter to me that much because I don't tote my laptop around, but if weight's an issue for you -- I really can't imagine laptops getting much lighter than this.* It turns on fast. Really fast. It has the OS on a solid state drive, and then a terabyte drive for storage, and the advantage to this is that solid state drives boot up super fast. This is a laptop that I'd have less of a problem with shutting down regularly, because turning it back on again takes about the same amount of time as it takes my laptop to come out of sleep mode. It's that fast.* It packs a fair amount of power without the heat. I've tested it on both Overwatch and Minecraft, and while it won't do either of those games at their best graphics settings (or even near-best), it does run them, and runs them smoothly. Moreover, it does so without producing a lot of heat, which surprised me. I have ordered a fancy chill pad to go with this laptop, since I anticipate it's going to be doing a lot of playing games with high graphics requirements, but I'm not seeing a lot of heat issues, even without it.* I thought the whole 'thin bezel' thing was silly until I saw this laptop's screen. It really does make my old laptop's screen seem outdated and clunky.* The speakers are decent, for what they are. They don't have much of a bass, but they did bring out some things in the other registers of the music I was listening to that impressed me. If you just want 'thump, thump, thump', they're not the speakers for you, But they might hold up okay, for music that has a little more than that going on.* Battery life was pretty decent. My roommate played Overwatch for hours on it and didn't realize that it wasn't plugged in.Now the bad:* This is the biggest concern I have with this laptop: The charger gets REALLY hot, and the wire itself seems flimsy. Between the hot charger and the flimsy wire, I'm expecting that my charger isn't going to last long. This isn't something I'm terribly comfortable leaving plugged in and walking away, either.* It comes with a lot of bloatware which you then have to go through and uninstall, which is kindof a pain. I don't get why companies do this. Also, it tries to push McAfee on you. I don't know why companies do this, either.* The speakers, while decent, could be better. But I've been saying that about my laptops for years, and have yet to own one where they ARE better. Still, when my iPhone has better sound, it feels like there's room for improvement.* Given how light and thin it is, I'd actually be a little afraid to tote this thing around too much without some kind of really protective case. It seems like it could get damaged too easily.",1,2,1,2,3
22,"This is perfect for homework for my middle schooler. Also, I use it to draw using the Adobe sketch program. Much cheaper than an ipad pro!!",2,4,5,4,5
23,The perfect laptop.,2,3,1,2,2
24,I received a paper weight. There was no OS loaded and the laptop has the wear and tear of a well used laptop. I shipped it back as soon as I received it.,3,4,5,4,3
25,"Best gaming laptop at less the $1,000. Really like this because it has plenty of storage, gtx 1060 gpu plus a thunderbolt 3 port. Will have the possibility to use external gpu in the future if I want to.",1,0,5,2,2
26,Works just fine. Good buy for 200$.,3,1,5,4,3
27,Great product.!!!,3,4,5,4,3
28,My son loves his new computer! Much cheaper than purchasing one from Best Buy.,2,0,3,2,2
29,"This is the worst misrepresentation by the seller. Both Samsung products were refurbished and that is why it was presented at a lower price for $139.99. Both products have lots of scratches on top monitor. One of them on the left corner of the keyboard is bent and cracked. I was planning to give them as Christmas gifts to my daughters, now I have to return them and get another set. Really disappointment.",3,3,5,5,6
30,"I just got my laptop today. This review is for the Asus 11.6 inch 4 RAM Quad-Core.I absolutely love the size and sleekness of the laptop! For the price, it runs amazingly. It's not the fastest computer I've ever worked on but there is no slowness or delay either. Being that this purchase also comes with a year of Microsoft Office included (Microsoft Word, Excel, etc) you can't beat the price. Purchase of that alone is over $100.The color is less gold than it appears in the photo, it's more of a champagne which I was even more pleased with.I work every day on a normal size desktop keyboard at work and this keyboard feels comfortable to me.Also, I tested streaming Netflix and there was no lag and the display looked great!Very happy with my purchase and would definitely recommend to anyone wanting a small laptop for travel and a laptop for basic browsing, emails and spreadsheet and document use!",3,1,5,4,3
31,"A workhorse laptop with a large, HD screen, 16GB memory, quad cores, backlit keyboard, and large hard drive makes for a solid gaming or development platform  even better, this ASUS ROG STRIX Thin and Light Gaming Laptop is also (relatively) lightweight! Lets take a closer look.Here are the basic specs, and be sure to also see the included pics:* 16GB RAM* 15.6 full HD screen (1920 x 1080 pixels)* Storage: 256GB SATA SSD and 1TB HDD drives* Dimensions:15.1 x 10.3 x 0.9 inches, and weighing in around 5.6 pounds* CPU: 7th-generation Intel Core i7-7700HQ quad-core 2.8GHz (Turbo to 3.8GHz) with discrete GeForce GTX 1050 4GB graphics* I/O: Bluetooth 4.1, 3x USB 3.0, 1x USB 3.1 (Type C), 1x USB 2.0, 1x HDMI, 1x Mini DisplayPort, 1x headphone/Mic jack, and 1x RJ45 LAN port, and 802.11ac 22 WiFi* Keyboard: Aura RGB lighting keyboard with 4 isolated hotkeys, 1.6mm key travel, and anti-ghosting technology. 4 zones of lighting control. 20-million keystroke durability.* DVD: As the current trend, there is no DVD drive. Im now accustomed to that, so dont miss it. You can connect USB to an external DVD (eg Apple DVD drive worked) if you must.The laptop comes with Windows 10 Home as the OS. Both MS Office and MS OneDrive came pre-installed but unactivated. I used Control Panel | Programs and Features to uninstall both products, as this is targeted to be a development machine. I installed Oracles VirtualBox to run virtual machines. With quad cores, this is a good host for VMs.There is a numeric keypad, which would be good for accounting and tax chores. I loved the backlit keyboard and the ability to change the backlit colors with the pre-installed ASUS app. The touch pad did not have individual buttons, but was more of a universal pad where when you click on the left it is a one-click and if you click on the right it is a double-click. It took me about thirty minutes to get used to it, but now I like it.Since there are two WIFI adapters, you can connect to WIFI, and also share that WIFI with other devices, creating a hotspot. No cellular though  wouldnt that have been a dream?Regarding the 1.25TB of space: The space is 256GB of SSD on which the OS is installed, and 1TB of HDD space that is available for end-user storage. The 1TB drive is end-user replaceable.The display is a very crisp 15.6 full HD screen (1920 x 1080 pixels). This is *not* a touch screen, although I keep trying.The logo that appears on the back of the metal (aluminum?) lid lights up. Although the lid is nice, the base of the unit is plastic.The lithium ion battery life is OK  generally I got less than five hours of varied use including installing software. This workstations does have quad cores after all, and youll definitely hear the fan when it kicks on. The power brick is huge (not great for travel), but it does tend to charge the laptop quickly (within two hours).All in all this is a fast Windows laptop that could serve as a solid gaming or development platform, and Im happy with it.I hope you found this review helpful!",2,0,1,0,2
32,Not a good experience soon as the cable left i couldn't get online and closing the page was impossible,3,1,5,4,3
33,Only $200 and you can add a $25 160 gb internal hdd.Upgrading to a better windows os makes it better. The laptop is loud when there is no noise around you but if you're a crowded environment you won't hear it.,3,1,5,4,3
34,"It's just ok. Battery is not that great and I am having extremely irritating issues with wi-fi. It continuously loses internet connection. The internet issue started about a month ago, a few months after I purchased this. It has trouble just finding a wi-fi to connect to and when it does it loses it. I have restarted in and shut it down, waited a while, and started back up and still internet issues. When you pay over $800 for a laptop you would expect it to work perfectly for at least a year especially since I don't do much on it",2,2,1,2,2
35,The computer is slow when I which YouTube and download show thing.,3,2,1,4,2
36,Its a good computer! only problem i have is its telling me i can update the wndows 10 but then when i go to do that it tells me theres not enough space to update and theres lots of stuff already on the computer and i dont know what i actually need to keep and what i dont. I even used the disk clean up tool and the computer still tells me theres not enough space to be able to update.,2,2,5,4,6
37,"very good, sensitive to blows",1,0,1,2,2
38,You'd think that a 1060 would be half decent but not even a year after ordering I'm getting plagued with some bsod. Nothings more frustrating than loosing hours worth of work over a some so trivial as decent drivers for a overpriced laptop. I'd giggle if anyone bought this laptop today expecting a good experience from it.,1,0,3,2,2
39,Great gaming laptop on a budget..nothing to hate ...,2,0,3,2,2
40,I purchased this laptop 3 months ago and the keyboard stopped working last month.,3,1,5,4,3
41,"one of my best buy! Light for its size, good performance, overall great entry-level gaming laptop",2,0,1,2,2
42,"Satisfied with the purchase. Screen, speakers, keyboard, they are all top-notch. Great materials and build. But most importantly, CPU and GPU (GTX 1070) performance is excellent. The fan does get loud at times, but not that bad in my opinion.",2,0,1,0,1
43,Guys this computer died on me 3 months after I bought it and is no longer eligible to be returned or have free product support. For real????? I guess I'll take it in to a Microsoft store and see if they can do any better for me. A HUGE DRAG.,1,2,3,2,4
44,"I had been looking for an affordable laptop with the features this laptop has. There were no reviews at the time, but I was pleased with the specs and ordered it. This is a decent laptop for the money. This is not a very powerful laptop, but for my basic needs it will work well. I have found when using the laptop when it's charging, it gets hot around the upper left area of the keyboard. There are a lot of programs on here that you will probably want to remove as there is about 10 GB of free space remaining when it arrives. The laptop is light being under 4 lbs and nice and thin to take on the go. Overall a decent value and buy for the money.",3,4,5,4,3
45,great little computer I am using it right now I had the 2gb ram dual core and gave it to my mom and upgraded to this 4gb quad core get the 4gb it seems faster I paid $199 so I'm very happy,3,1,5,4,3
46,"I really wanted to love this computer. I always do a lot of research before I buy things and the biggest complaint on this computer was that it was slow. I can live with slow. I just wanted something that I could take to work with me to access documents and literature. This computer was so slow I couldn't even access the internet. You'll need to buy a micro SD card for extra storage if you want to update Windows. That wasn't a big deal for me. Any of these cheap computers with 32gb storage can barely handle windows. The build quality seemed pretty good for the price. The only thing I couldn't deal with was how slow it was. I had to send this one back and get something with a faster processor. The all day battery life was nice with the ATOM processor but it just couldn't handle Windows 10. I ended up getting a little blue Dell Inspiron for about $50 and it has a celeron processor, which is a little faster but sacrifices battery life. It also has a touch screen and folds all the way around like a tablet. It's so much faster and feels like a better laptop, although it has a few drawbacks also. The ASUS had a better touch pad and I liked the location of the power button compared to the Dell. Oh, and the speakers are horrible on the ASUS. The Dell is very loud, like unbelievably loud for a laptop with this price. Overall, the ASUS is well built but it's too slow for even the most basic tasks, such as checking email, and the speakers are very bad. Get the touchscreen Dell for $250.",3,1,5,4,3
47,"I have had this for two weeks now. This is my fourth Chromebook and 2nd touch screen. So far, this is my favorite. I loved the size of the Acer C100 touch screen but this is almost as light. The screen is wonderful. Other people are more expert at explaining the details than I am but I like that it is small and light enough to comfortably travel with and has a beautiful screen for watching movies. My husband bought one too and he has no complaints either.",2,4,5,4,5
48,"Arrived early and as expected from EXcaliberPC. They did awesome. But, after 2 weeks the HDD failed. I meticulously took care of this, it was only used on a desk and kept in the box when not in use. I am in the process of getting the RMA done. Apparently I have to pay for shipping one way and it will leave me without a computer for 30+ days. That is a BUMMER. I did not abuse this thing, it was a defective item. Yet I have to pay for shipping and wait for them to OPEN it up, poke around and hopefully fix it. I would rather just get a new one since this had problems right out of the gate. I have always heard good things about MSI. I guess I will see how this works out for me because I feel pretty let down and may try other brands next time.",1,0,1,2,1
49,This chromebook is 100 percent perfect.,3,4,5,5,6
50,"Love everything about this product, the Microsoft word,excel, PowerPoint, makes my reports easy.is thin so i can actually carry it around like a phone .",3,2,5,4,3
51,"This is by far the slowest computer I've ever owned. Ive had base model Lenovo, Gateway and those performed much smoother. I bought this because I thought it was a good decent affordable Laptop. It is cheap compared to others , and it looks good, neither of those factors improves its slow, slow performance. When you first start it up the laptop is overrun by BS Microsoft apps and programs they want you to use. Blatant advertising, (perhaps thats why it is so affordable). Between all the notifications from other un needed products and trying to install programs you actually use, (itunes, opera web browser for me) this computer goes oh so slow. Not worth the purchase I would say, keep looking for a better computer. It could be worth spending a bit more for a better device. And if you have an external hard drive get ready for a major performance decrease with this computer. Huge bummer",2,4,5,4,3
52,Great laptop love it.,2,0,1,2,2
53,I cant sign into this computer. It worked fine when I got it but now it says its hibernating. I want to return it,2,2,0,2,1
54,"Got what I paid for, and hallelujah no bloatware. When you start it up for the first time, the only icon you see on the home screen is the recycle bin. Even when I went to the uninstall programs section which was a routine, all I saw were 16 programs all related to the functionality of the system. Perfect.",2,2,1,2,2
55,"It is a great laptop and for the money its simply awesome. I bought it for school work and some occasional gaming (I know it's more of a gaming laptop but I prefer more graphics than no graphics ;) ). I personally am not a huge gamer, so I allowed my brother to check for fps and stuff. He was getting 60-65 fps on Rainbow Six Siege on medium setting all around and about 30 fps on extremely high settings. I have been using the laptop for a couple of hours now and it feels great and runs smooth. I will update my ratings if something goes wrong (hoping it won't).There is however one big flaw: The track pad feels just awful. Thankfully I had ordered a mouse beforehand so its not a issue for me.Edit: after an entire semester of coding classes, I am extremely happy with the performance. For gaming part, it gets hot after about half an hour of heavy gaming but works fine with lower end gaming and school work.",2,0,3,2,2
56,"Love this laptop.I had a Surface Pro, but hated it due to the small screen size, small battery, and substandard keyboard. This laptop takes all the best features of the Surface Pro and adds to it. Sleek and slim form factor. Spectacular screen. Good battery life. The only slight knock is a lack of ports, but this isn't an important factor for me.",0,2,3,2,4
57,Needed this laptop to stream online video to a weekly group. Works well and the picture is very clear. Well worth the price.,2,2,5,4,2
58,"Not enough space, I wouldn't recommend",3,4,5,4,3
59,I have owned this chrome book for about a year now. I love it!! Easy to carry around and use. Charges quickly and runs fast. The price was an absolute steal. Very happy with my purchase!!,3,4,5,5,6
60,"the delivery date was off because amazon uses UPS for the delivery but if that wasn the case and it was ontime i would have been very satisfied, i love my laptop.",2,4,5,4,3
61,Had for two months and worked fine. It started to freeze when playing a basic game and opening internet tabs.,1,0,1,2,2
62,everything i need inatablet,3,4,5,5,6
63,"This is a good laptop for anyone who needs something light and portable. I have had zero problems with mine so far. The real battery life is about ten hours and it recharges quickly. It is easy and quick to type on with good key feel and travel. If I could change one thing it would be the screen flex. This version has a metal top but when I first opened it I could tell that the cover was so lightweight that it would bend very easily, which it does. On the other hand, I believe that this is the best laptop overall that you can buy at the low end of $1000. The 8th gen i7 is very fast and I expect to be happily using this laptop for several years. Also, the slim bezels which allow for the 14-inch screen in this form factor are important. Don't go out and get a 13-inch screen on another laptop. That extra inch makes a difference.",3,2,2,0,3
64,Definitely worth buying if you need an affordable laptop thatll work for all of your needs.,3,2,5,5,3
65,"I purchased this computer end of February. Very happy with the appearance and size. I admit I haven't used it much because I have another Lenovo laptop I use for work that I use the most. I purchased this one because I needed a personal computer, BUT it is so incredibly slow it's almost impossible to use. It takes forever to load start screen then once that's open im lucky if i can get the browser up. I'm very disappointed since he has more features than my other Lenovo that is 2 years old and has alot of docs and programs stored on it. I have nothing stored on the new one and im ready to throw it out the window. I cant even imagine trying to play a game on it as advertised! I only wish I would have tried using it when I first bought it because I would have returned it the first week of dealing with this!",2,1,1,2,2
66,Still setting things up. . . . .this thing is lightening fast. Keep hitting the power button instead of delete though!,3,3,3,2,4
67,"The purchase of a Surface laptop has been the most negative customer experience of my life. And I've dealt with banks and insurance companies.I bought the Laptop in early August and was happy at first, as it seemed like a good alternative to the MacBook / Pro. After about 45 days of light to no use, the laptop failed completely and tech support was unable to resolve, so refund / replacement was the only option.I thought about it and based on the news that had recently come out re Consumer Reports and the very high failure rate, I opted for refund, as my spidey sense told me this product had been rushed to market. I asked for a refund; as I was at 45 days vice 30, the request would have to be referred up for approval, response in 24-36 hours. Fine. A week goes by, nothing heard - I call, they advise 'your request has been denied.' Fine, I'll go with replacement, sell it on Kijiji, buy a MacBook. They send me ... a refurb. A highish end laptop fails after 45 days and MS believes a refurb is a fair trade. Now I'll have difficulty selling the laptop. I call back and say no way, not acceptable. They say 'just go in person into the store, they'll give you a brand new one.' The nearest store is 4 hours by car, can't do, have to do it via courier. They say 'We can't send a new laptop via courier, if you're genuinely not happy, ask for a refund'. I advise already tried, no success. They said, no, I'm looking at your file, a refund was never requested. So I waited for a week just to find out that first agent lied outright to me.Bottom line - I'm more than 2 weeks without a laptop, have spent in excess of 7 hours on the phone they consistently refuse to refer me to head office or any other level of customer support that might be able to authorize replacement with a new computer via courier. Apparently only Bill Gates himself could authorize such a thing, and he's busy. They have have ignored queries sent over email, Facebook and Twitter. This is what you can expect when your Surface fails.My sincere recommendation is buy a MacBook; the reliability is one thing, but the arrogance and ineffectiveness of MS customer service team is what makes me certain I WILL NEVER BUY A PIECE OF MS HARDWARE FOR ME OR MY FAMILY AGAIN. I've never had a major failure of an Apple desktop or laptop, when I've had issues with peripheral devices they have replaced even out of warranty.The product is not ready for market, the company is not willing to work with the poor suckers who got on early to try to find a good outcome. I will be buying a MacBook as soon as this circus is resolved.",1,2,3,2,4
68,Very sleek and light weight,2,2,0,2,2
69,"i bought this as my first gaming laptop since i travel and would like something to game on the way, i would recommend this to anyone who would travel or is on a budget i mainly play csgo, payday2, etc and i get around 250 fps medium settings with certain settings",1,0,1,2,2
70,"I've had the laptop for two months and haven't had a single issue. It runs clean and is very responsive. I had to upgrade the RAM because I do virtualization and some machine learning stuff, but the fact that all I had to do is supply more RAM is a testament to the quality of the laptop. Also, after installing the new RAM the boot time went down noticeably. Power-on to login screen takes about 5 seconds.For those interested, this is the RAM I bought:https://www.amazon.com/gp/product/B01BIWKP58/ref=oh_aui_detailpage_o00_s00?ie=UTF8&psc=1",1,0,1,2,2
71,I love how it's so thin and light weight and the battery life last pretty well,3,4,5,4,3
72,"I have had some problems with my device among which are the heat produced which is much higher than I expected because in some reviews mentioned that I had a good thermal solution, the problem is that by playing about two hours the device gives a few pulls and you can not continue with the games session, another issue is that my device brings two 4GB RAM memories and usually usually comes with only one of 8GB leaving a slot free and then add another if necessary but in my case I must buy two if I need 16gb of ram, the network card on the other hand is quite slower than I expected since I have the same card in another device and it gives me quite good speed however with this barely and it helps me web browsing, I tried to reinstall the drivers that previously had updated but has not had any effect, otherwise everything is fine and I guess the defects that have i machine does not have to occur in other devices of the same series however it is a point to take into account since they can not launch equipment with these defects without a previous revision of them.",1,0,5,2,2
73,"All is great with this laptop except the hard drive. The hard drive is so slow, that the 8 GB's of ram, and 4-core intel i5 processor have no opportunity to be utilizied. I uninstalled all of the bloatware, and installed advanced systemcare pro to optimize the system. I can't do much of anything without reaching 100% disk usage, freezing windows explorer. I will be replacing the hard drive with an SSD drive, but between the drive and purchasing a copy of windows 10, that is going to add another $300 on top of the price of the laptop just to get it to run without freezing.",3,2,1,2,2
74,"For the price, it's a good deal.Pros:- Keyboard is large, quiet, easy to type on.- Big 1080P screen is nice. But not perfect, see cons.- System is responsive, and doesn't lug down or lag during web browsing, office use.- Minimal bloatware.- SSD seems speedy enough. It's a bit on the small side. After deleting most unneeded apps (including Office), installing others (Chrome, Evernote, VPN), and doing the raft of system updates needed, it has just over 10 GB free. Which is enough for streaming movies and connecting to the office via RDC for the heavy lifting, but skimpy if you want to run Office locally...or pretty much any other big suite like Adobe.- Lots of ports.- Good battery life.Cons:- Trackpad is touchy sometimes, unresponsive others. Turning off multi-finger gestures seems to help.- Trackpad is noisy. It clicks pretty loudly when you press on it.- Vertical viewing angle is pretty narrow. Tilt the screen a little bit and the colors darken or wash out. Not a big deal when surfing the web or doing office stuff, but distracting when watching movies.- Windows 10 Home. Lots of stuff you can't disable or remove. But it gets the job done.- Weight is of course a little more than a typical modern 11"" or 13"" laptop.- SD card sticks out a ways.Overall, it's a nice system. The trackpad is probably the biggest issue. But a $10 Bluetooth mouse is a good workaround.",3,4,5,4,3
75,Still in transition from straight Microsoft. Printer interface awkward. Fast and bouncy Google browser Mouse interface is non-standard. Left click is reversed with right click. Still checking out many features.,2,2,5,4,2
76,"I only just got this computer today, but I love it! I do wish it had a regular USB port but, I knew that going in. The only problem I have had so far is I closed the computer and the screen would not come on so I had to turn it off and back on but after that it was fine. I really love how lightweight the computer is and the size is just perfect. My previous computer was a 2010/11 model MacBook Pro and I find that the dimensions and appearance are very similar, just now sleeker and thinner. I didn't think I would use the tablet function much on this computer but after testing it out today I may have to play around with it more. I saw several negative reviews about this machine and I don't see why, other than perhaps those people just got a bad egg. I would most definitely recommend this computer to students and anyone who needs a lightweight computer on the go or something easy for personal use. Maybe not for someone who needs their computer to do tons of heavy lifting, as it is not meant for that. All in all, I am really happy I bought this computer, I will check in if my opinion changes.",3,2,5,4,3
77,bad screen and pretty low memory..,2,2,5,4,6
78,Wonderful Chromebook. Stylus pen works smoothly. Look and Feel is great. Love it.,2,4,5,4,5
79,"Slowest machine ever. It's very frustrating to try to surf the internet with just one window open and watch the little circle go 'round and 'round. It has the latest Windows updates. I'm sitting right next to our wifi source where our other laptop flies. Did I say frustrating? I wish I'd returned it in the first 30 days, but didn't.",3,1,5,4,3
80,"Good value in a cheap Chromebook. If you want to try a Chromebook without putting out a lot of money, this is for you. Highly recommend.",3,4,5,5,6
81,Good quality! Very quick! Would recommend,2,0,3,2,2
82,"The laptop is fine, works great,Except the backlit keyboard worked twice and hasnt since. This was an important feature factoring into the decision to get this. Now it doesnt work thus the three stars.",2,2,0,2,1
83,After installing all of the updates and semi-configuring the laptop. I have an issue. The touchpad is terrible. It decides when it wants to allow you to right click or click anything. I don't always want to touch my screen to start an action. This is the WORST touchpad I've ever used on a laptop and I work in IT. My Huawei Matebook X touchpad responds when I decide to use it which is every time I'm using the computer. Changing the sensitivity doesn't help. I should never have to click on the touchpad more than once to bring up the right dialog menu or to launch a program. This is a disaster. I'm returning it.,1,2,3,2,4
84,I can't explain in words how much I love the Chromebook! Best purchase ever!,2,4,5,4,5
85,"I'm using this computer for work as well as playing League of Legends and WoW. It runs both of them very well and the start up time with the SSD is about 10 seconds. The keys have a solid feel of mechanical, but aren't super noisy, so I'm not bothering my coworkers. Loving it and very happy with my purchase!",2,0,3,2,2
86,Got sold this by origin electronics. Laptop arrived. Switched it on and all i get is 100% disk use. Have tried everything form diagnostics to factory reset and even changing things in registry. Still getting 100% use. Avoid this product and seller!!!,1,0,1,2,2
87,I really like my laptop.,2,1,2,4,2
88,"The samsung Chromebook is awesome, however there is a known issue. There is a sound issue with the chromebook. Audio wil pop or crack, which Samsung denied happening on the chromebook. I spoke to two supervisors and all they mentioned is they can send it in for repair. I have had two replacements through Amazon which experienced the same thing. The following steps were taken to try and see what was providing the audio popping/craking noise1. Turned Bluetooth On/Off2. Powerwashed the device3. Changed from Stable channel to beta, and vise versa4. Disabled Google Play Store appsSamsung is not honoring their ""Number 1 Customer service."" I will definitely not be going with them again.Google Samsung Chromebook Plus Audio Popping/Crackling on chromebook forum",2,4,5,4,5
89,"This laptop is great. Great screen, speedy performance (handled any porn video I threw at it) and has a perfectly fine keyboard and track pad (dispite all the reviews that say otherwise). Android apps work perfectly with no glitches. I was able to use this laptop as my main laptop - not sure why other's report that this laptop is only good for web browsing and watching videos....The reason I rated the laptop 3-stars is because I needed to return it. The speakers kept crackling and I would lose wifi constantly no matter what wifi I was connected to. I decided to go with the Pro due to its quicker processor. I would have kept the Plus though if I didn't experience the speaker or Wifi issues.",2,4,5,4,5
